"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Cottus cognatus",7,21,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cottus gobio",696,847,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crangon crangon",114,186,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crangonyx pseudogracilis",20,25,0,"ctmax;ltmax",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crematogaster lineolata",2,5,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crotalus atrox",71,97,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crotalus cerastes",55,73,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crotalus scutulatus",24,31,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Crotalus viridis",21,31,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Ctenolabrus rupestris",50,118,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Ctenotus pantherinus",3,4,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Culaea inconstans",3,48,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cynoscion nebulosus",120,247,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cyprinella lutrensis",1,8,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cyprinella spiloptera",28,68,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cyprinus carpio",1014,1203,1,"ctmax;ctmin;ltmax",3,"animal","verified thermal-source taxonomy"
"GloBI consumers","Danio rerio",4,31,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Dasyatis sabina",4,26,0,"ctmax",1,"animal","verified thermal-source taxonomy"
