consumer,metrics,n_metrics
Holacanthus passer,ctmax,1
Hucho hucho,ctmax,1
Huso huso,ctmax,1
Hydrocynus brevis,ctmax,1
Hydrocynus forskahlii,ctmax,1
Hydrocynus vittatus,ctmax,1
Hydropsyche pellucidula,ctmax;ltmax,2
Hypomesus olidus,ctmax,1
Hypoplectrus aberrans,ctmax,1
Hypoplectrus nigricans,ctmax,1
Hypsoblennius hentz,ctmax,1
Ictalurus furcatus,ctmax,1
Ictalurus punctatus,ctmax;ctmin;ltmax,3
Ischnura elegans,ctmax,1
Istiompax indica,ctmax,1
Istiophorus platypterus,ctmax,1
Kajikia albida,ctmax,1
Kajikia audax,ctmax,1
Katsuwonus pelamis,ctmax,1
Konia eisentrauti,ctmax,1
Kuhlia sandvicensis,ctmax;lt50,2
Labroides dimidiatus,ctmax,1
Labrus bergylta,ctmax,1
Labrus mixtus,ctmax,1
Lacerta agilis,ctmax;ctmin,2
Lachnolaimus maximus,ctmax,1
Lagodon rhomboides,ctmax,1
Lampropeltis zonata,ctmax,1
Lateolabrax japonicus,ctmax,1
Lates calcarifer,ctmax;ltmax,2
Lates niloticus,ctmax,1
Leiostomus xanthurus,ctmax,1
Lepidiolamprologus elongatus,ctmax,1
Lepidiolamprologus profundicola,ctmax,1
Lepidonotothen squamifrons,ctmax,1
Lepidopsetta bilineata,ctmax,1
Lepisosteus osseus,ctmax,1
Lepomis auritus,ctmax,1
Lepomis cyanellus,ctmax;ctmin,2
Lepomis gibbosus,ctmax;ctmin,2
Lepomis gulosus,ctmax,1
Lepomis macrochirus,ctmax;lt50;ltmax,3
Leptocottus armatus,ctmax,1
Lethocerus americanus,ctmax,1
Leucaspius delineatus,ctmax,1
Leuciscus aspius,ctmax,1
Leuciscus idus,ctmax,1
Leuciscus leuciscus,ctmax,1
Limnothrissa miodon,ctmax,1
Linepithema humile,ctmax;ctmin,2
Liopsetta glacialis,ctmax,1
Lipophrys pholis,ctmax,1
Lipophrys trigloides,ctmax,1
Lota lota,ctmax;ctmin,2
Lucania parva,ctmax;lt50,2
Luciobarbus guiraonis,ctmax,1
Lutjanus apodus,ctmax,1
Lutjanus guttatus,ctmax;ctmin,2
Luxilus cornutus,ctmax,1
Maccullochella peelii,ctmax,1
Macropelopia nebulosa,lt50,1
Makaira nigricans,ctmax,1
Masticophis lateralis,ctmax,1
Megalops cyprinoides,ctmax,1
Melanotaenia splendida,ctmax,1
Menidia beryllina,ctmax,1
Menidia menidia,lt50,1
Menippe nodifrons,ctmax,1
Metacarcinus magister,lt50,1
Micropterus coosae,ctmax,1
Micropterus dolomieu,ctmax,1
Micropterus floridanus,ctmax,1
Micropterus punctulatus,ctmax,1
Micropterus salmoides,ctmax;lt50;ctmin,3
Microthrissa congica,ctmax,1
Monopterus albus,ctmax,1
Morone americana,ctmax,1
Morone chrysops,ctmax;lt50,2
Morone mississippiensis,ctmax,1
Morone saxatilis,ctmax;lt50,2
Mullus surmuletus,ctmax;lt50,2
Myoxocephalus quadricornis,ctmax,1
Mytilus edulis,lt50,1
Nandus nandus,ctmax,1
Neogobius melanostomus,ctmax,1
Neolamprologus meeli,ctmax,1
Neolamprologus pulcher,ctmax,1
Neolamprologus savoryi,ctmax,1
Notechis scutatus,ctmax,1
Notemigonus crysoleucas,ctmax,1
Notothenia coriiceps,ctmax,1
Notothenia rossii,ctmax,1
Noturus flavus,ctmax,1
Noturus stigmosus,ctmax,1
Nucella lapillus,lt50,1
Ocyurus chrysurus,ctmax,1
Odontaster validus,ctmax,1
Oedothorax apicatus,ctmax,1
