predator,prey
Gymnocephalus cernua,Sander vitreus
Gymnocephalus cernua,Agabus brunneus
Gymnocephalus cernua,Deronectes latus
Gymnocephalus cernua,Deronectes opatrinus
Gymnocephalus cernua,Deronectes moestus
Gymnocephalus cernua,Hydroporus memnonius
Gymnocephalus cernua,Hydroporus sabaudus
Gymnocephalus cernua,Ecdyonurus insignis
Gymnocephalus cernua,Gammarus tigrinus
Gymnocephalus cernua,Serratella ignita
Gymnocephalus cernua,Ischnura pumilio
Gymnocephalus cernua,Ephemera danica
Gymnocephalus cernua,Coenagrion puella
Gymnocephalus cernua,Calopteryx virgo
Gymnocephalus cernua,Ischnura elegans
Gymnocephalus cernua,Caenis luctuosa
Gymnocephalus cernua,Agabus didymus
Gymnocephalus cernua,Agapetus fuscipes
Gymnocephalus cernua,Leuctra fusca
Gymnocephalus cernua,Dinocras cephalotes
Gymnocephalus cernua,Rhyacophila dorsalis
Gymnocephalus cernua,Deronectes aubei
Gymnocephalus cernua,Echinogammarus ischnus
Gymnocephalus cernua,Aphelocheirus aestivalis
Gymnocephalus cernua,Dikerogammarus villosus
Gymnocephalus cernua,Nemurella pictetii
Gymnocephalus cernua,Echinogammarus berilloni
Gymnocephalus cernua,Astacus astacus
Gymnocephalus cernua,Ecdyonurus venosus
Gymnocephalus cernua,Agabus bipustulatus
Gymnocephalus cernua,Baetis rhodani
Gymnocephalus cernua,Baetis vernus
Gymnocephalus cernua,Rhithrogena semicolorata
Gymnocephalus cernua,Drusus annulatus
Dicentrarchus labrax,Crangon crangon
Dicentrarchus labrax,Carcinus maenas
Dicentrarchus labrax,Dicentrarchus labrax
Diplodus sargus,Crangon crangon
Liopsetta glacialis,Crangon crangon
Micropterus salmoides,Gambusia affinis
Micropterus salmoides,Pimephales promelas
Micropterus salmoides,Oncorhynchus tshawytscha
Micropterus salmoides,Poecilia reticulata
Micropterus salmoides,Carassius auratus
Micropterus salmoides,Lepomis macrochirus
Micropterus salmoides,Lepomis gibbosus
Micropterus salmoides,Hypomesus transpacificus
Micropterus salmoides,Procambarus clarkii
Micropterus salmoides,Anguilla anguilla
Micropterus salmoides,Rutilus rutilus
Micropterus salmoides,Cyprinella lutrensis
Micropterus salmoides,Hypomesus nipponensis
Micropterus salmoides,Tinca tinca
Micropterus salmoides,Atyaephyra desmarestii
Micropterus salmoides,Gambusia holbrooki
Micropterus salmoides,Carassius gibelio
Micropterus salmoides,Hyalella azteca
Micropterus salmoides,Chironomus thummi
Micropterus salmoides,Pseudorasbora parva
Micropterus salmoides,Gammarus tigrinus
Micropterus salmoides,Labidesthes sicculus
Micropterus salmoides,Menidia beryllina
Micropterus salmoides,Pimephales notatus
Micropterus salmoides,Dorosoma petenense
Micropterus salmoides,Oncorhynchus mykiss
Micropterus salmoides,Lepomis cyanellus
Micropterus salmoides,Mugil cephalus
Micropterus salmoides,Sander vitreus
Micropterus salmoides,Dorosoma cepedianum
Micropterus salmoides,Notemigonus crysoleucas
Micropterus salmoides,Cyprinus carpio
Micropterus salmoides,Micropterus dolomieu
Micropterus salmoides,Micropterus salmoides
Micropterus salmoides,Chironomus longistylus
Micropterus salmoides,Pseudobarbus phlegethon
Micropterus salmoides,Sialis lutaria
Micropterus salmoides,Carassius carassius
Micropterus salmoides,Squalius cephalus
Micropterus salmoides,Salvelinus namaycush
Micropterus salmoides,Paratendipes albimanus
Micropterus salmoides,Ctenopharyngodon idella
Micropterus punctulatus,Etheostoma nigrum
Lepomis cyanellus,Xyrauchen texanus
Lepomis cyanellus,Gambusia affinis
Morone saxatilis,Alosa sapidissima
Morone saxatilis,Alosa pseudoharengus
Morone saxatilis,Corbicula fluminea
Morone saxatilis,Procambarus clarkii
Morone saxatilis,Hypomesus transpacificus
Morone saxatilis,Xyrauchen texanus
Morone saxatilis,Oncorhynchus tshawytscha
Morone saxatilis,Sphoeroides maculatus
Morone saxatilis,Boreogadus saida
Morone saxatilis,Labidesthes sicculus
Morone saxatilis,Menidia menidia
Morone saxatilis,Dorosoma petenense
Morone saxatilis,Gambusia affinis
Morone saxatilis,Mugil curema
Morone saxatilis,Osmerus mordax
Morone saxatilis,Lepomis macrochirus
Morone saxatilis,Dorosoma cepedianum
Morone saxatilis,Cyprinus carpio
Morone saxatilis,Fundulus heteroclitus
Morone saxatilis,Mugil cephalus
Morone saxatilis,Morone saxatilis
Morone saxatilis,Gammarus fasciatus
Morone saxatilis,Hyalella azteca
Morone saxatilis,Gammarus tigrinus
Morone saxatilis,Cyprinodon variegatus
Morone saxatilis,Notemigonus crysoleucas
Anguilla anguilla,Gammarus tigrinus
Anguilla anguilla,Pomatoschistus minutus
Anguilla anguilla,Serratella ignita
Anguilla anguilla,Sialis lutaria
Anguilla anguilla,Leuctra fusca
Anguilla anguilla,Rhyacophila dorsalis
Anguilla anguilla,Limnius volckmari
Anguilla anguilla,Erpobdella octoculata
Anguilla anguilla,Ancylus fluviatilis
Anguilla anguilla,Astacus astacus
Anguilla anguilla,Crangon crangon
Anguilla anguilla,Baetis vernus
Anguilla anguilla,Baetis rhodani
Anguilla anguilla,Asellus aquaticus
Anguilla anguilla,Hydropsyche pellucidula
Anguilla anguilla,Carcinus maenas
Anguilla anguilla,Dreissena polymorpha
Anguilla anguilla,Gammarus pulex
Anguilla anguilla,Gymnocephalus cernua
Anguilla anguilla,Sander lucioperca
Anguilla anguilla,Salmo trutta
Anguilla anguilla,Rutilus rutilus
Anguilla anguilla,Perca fluviatilis
Anguilla anguilla,Anguilla anguilla
Anguilla anguilla,Agabus brunneus
Anguilla anguilla,Deronectes latus
Anguilla anguilla,Deronectes opatrinus
Anguilla anguilla,Deronectes moestus
Anguilla anguilla,Hydroporus memnonius
Anguilla anguilla,Hydroporus sabaudus
Anguilla anguilla,Chironomus longistylus
Sciaenops ocellatus,Heterandria formosa
Sciaenops ocellatus,Gambusia affinis
Sciaenops ocellatus,Lagodon rhomboides
Sciaenops ocellatus,Fundulus grandis
Sciaenops ocellatus,Cyprinodon variegatus
Sciaenops ocellatus,Callinectes danae
Sciaenops ocellatus,Petrolisthes armatus
Sciaenops ocellatus,Gammarus tigrinus
Sciaenops ocellatus,Menidia beryllina
Sciaenops ocellatus,Mugil cephalus
Sciaenops ocellatus,Dorosoma cepedianum
Sciaenops ocellatus,Sciaenops ocellatus
Pomatoschistus minutus,Corophium volutator
Pomatoschistus minutus,Crangon crangon
Pomatoschistus minutus,Marinogammarus marinus
Pomatoschistus minutus,Carcinus maenas
Pomatoschistus minutus,Pleuronectes platessa
Pomatoschistus minutus,Pomatoschistus minutus
Kuhlia sandvicensis,Xiphophorus hellerii
Kuhlia sandvicensis,Poecilia reticulata
Lagodon rhomboides,Mugil cephalus
Lagodon rhomboides,Lagodon rhomboides
Lagodon rhomboides,Dreissena polymorpha
Pungitius pungitius,Pungitius pungitius
Atherinops affinis,Atherinops affinis
Barbatula barbatula,Serratella ignita
Barbatula barbatula,Sigara lateralis
Barbatula barbatula,Baetis rhodani
Barbatula barbatula,Baetis vernus
Barbatula barbatula,Asellus aquaticus
Barbatula barbatula,Prodiamesa olivacea
Barbatula barbatula,Hydropsyche pellucidula
Barbatula barbatula,Gammarus pulex
Barbatula barbatula,Potamopyrgus antipodarum
Barbatula barbatula,Agabus brunneus
Barbatula barbatula,Deronectes latus
Barbatula barbatula,Deronectes opatrinus
Barbatula barbatula,Deronectes moestus
Barbatula barbatula,Hydroporus memnonius
Barbatula barbatula,Hydroporus sabaudus
Barbatula barbatula,Ecdyonurus insignis
Barbatula barbatula,Gammarus tigrinus
Barbatula barbatula,Ischnura pumilio
Barbatula barbatula,Ephemera danica
Barbatula barbatula,Coenagrion puella
Barbatula barbatula,Calopteryx virgo
Barbatula barbatula,Ischnura elegans
Barbatula barbatula,Agabus didymus
Barbatula barbatula,Caenis luctuosa
Barbatula barbatula,Agapetus fuscipes
Barbatula barbatula,Leuctra fusca
Barbatula barbatula,Dinocras cephalotes
Barbatula barbatula,Rhyacophila dorsalis
Barbatula barbatula,Deronectes aubei
Barbatula barbatula,Echinogammarus ischnus
Barbatula barbatula,Aphelocheirus aestivalis
Barbatula barbatula,Dikerogammarus villosus
Barbatula barbatula,Nemurella pictetii
Barbatula barbatula,Echinogammarus berilloni
Barbatula barbatula,Astacus astacus
Barbatula barbatula,Ecdyonurus venosus
Barbatula barbatula,Agabus bipustulatus
Barbatula barbatula,Rhithrogena semicolorata
Barbatula barbatula,Drusus annulatus
Barbatula barbatula,Gammarus fossarum
Barbatula barbatula,Gammarus lacustris
Barbatula barbatula,Cloeon dipterum
Barbatula barbatula,Gammarus roeselii
Barbatula barbatula,Heptagenia sulphurea
Acipenser brevirostrum,Dreissena polymorpha
Seriola lalandi,Perca fluviatilis
Perca fluviatilis,Astacus astacus
Perca fluviatilis,Crangonyx pseudogracilis
Perca fluviatilis,Asellus aquaticus
Perca fluviatilis,Gymnocephalus cernua
Perca fluviatilis,Sander lucioperca
Perca fluviatilis,Platichthys flesus
Perca fluviatilis,Anguilla anguilla
Perca fluviatilis,Esox lucius
Perca fluviatilis,Perca fluviatilis
Perca fluviatilis,Agabus brunneus
Perca fluviatilis,Deronectes latus
Perca fluviatilis,Deronectes opatrinus
Perca fluviatilis,Deronectes moestus
Perca fluviatilis,Hydroporus memnonius
Perca fluviatilis,Hydroporus sabaudus
Perca fluviatilis,Ecdyonurus insignis
Perca fluviatilis,Leucaspius delineatus
Perca fluviatilis,Maccullochella peelii
Perca fluviatilis,Atyaephyra desmarestii
Perca fluviatilis,Gammarus tigrinus
Perca fluviatilis,Zoarces viviparus
Perca fluviatilis,Serratella ignita
Perca fluviatilis,Sialis lutaria
Perca fluviatilis,Ischnura pumilio
Perca fluviatilis,Carassius carassius
Perca fluviatilis,Ephemera danica
Perca fluviatilis,Pseudorasbora parva
Perca fluviatilis,Squalius cephalus
Perca fluviatilis,Carassius gibelio
Perca fluviatilis,Salvelinus namaycush
Perca fluviatilis,Ctenopharyngodon idella
Perca fluviatilis,Coenagrion puella
Perca fluviatilis,Calopteryx virgo
Perca fluviatilis,Ischnura elegans
Perca fluviatilis,Carassius auratus
Perca fluviatilis,Gasterosteus aculeatus
Perca fluviatilis,Caenis luctuosa
Perca fluviatilis,Agabus didymus
Perca fluviatilis,Agapetus fuscipes
Perca fluviatilis,Leuctra fusca
Perca fluviatilis,Dinocras cephalotes
Perca fluviatilis,Rhyacophila dorsalis
Perca fluviatilis,Deronectes aubei
Perca fluviatilis,Echinogammarus ischnus
Perca fluviatilis,Aphelocheirus aestivalis
Perca fluviatilis,Saduria entomon
Perca fluviatilis,Dikerogammarus villosus
Perca fluviatilis,Nemurella pictetii
Atractosteus spatula,Oreochromis niloticus
Atractosteus spatula,Atractosteus spatula
Atractosteus spatula,Lagodon rhomboides
Atractosteus spatula,Mugil cephalus
Salvelinus alpinus,Boreogadus saida
Salvelinus alpinus,Pungitius pungitius
Salvelinus alpinus,Gammarus lacustris
Salvelinus alpinus,Salvelinus alpinus
Salvelinus alpinus,Gasterosteus aculeatus
Salvelinus alpinus,Chironomus thummi
Salvelinus alpinus,Oncorhynchus nerka
Salvelinus alpinus,Chanos chanos
Salvelinus alpinus,Oncorhynchus kisutch
Carassius carassius,Daphnia magna
Carassius auratus,Gammarus fossarum
Acipenser baerii,Saduria entomon
Oncorhynchus kisutch,Carcinus maenas
Oncorhynchus kisutch,Oncorhynchus gorbuscha
Oncorhynchus kisutch,Oncorhynchus keta
Oncorhynchus kisutch,Boreogadus saida
Oncorhynchus kisutch,Oncorhynchus nerka
Oncorhynchus kisutch,Alosa pseudoharengus
Oncorhynchus kisutch,Oncorhynchus clarkii
Oncorhynchus kisutch,Gasterosteus aculeatus
Oncorhynchus kisutch,Clupea pallasii
