Family;Species;Realm affinity;CTmax;SD CTmax
Chaetodontidae;Parachaetodon ocellatus;Marine;38,57;2,86
Chaetodontidae;Prognathodes aculeatus;Marine;38,59;2,43
Chaetodontidae;Prognathodes aya;Marine;38,30;2,43
Chaetodontidae;Prognathodes falcifer;Marine;35,81;2,43
Chaetodontidae;Prognathodes marcellae;Marine;37,79;2,43
Chanidae;Chanos chanos;Marine;41,14;0,17
Channichthyidae;Chaenocephalus aceratus;Marine;16,29;0,18
Channichthyidae;Chionodraco rastrospinosus;Marine;14,73;0,15
Channidae;Channa asiatica;Freshwater;40,09;2,19
Channidae;Channa aurantimaculata;Freshwater;39,05;1,65
Channidae;Channa bleheri;Freshwater;39,24;1,65
Channidae;Channa gachua;Freshwater;36,29;1,65
Channidae;Channa lucius;Freshwater;40,26;2,21
Channidae;Channa maculata;Freshwater;39,62;2,19
Channidae;Channa marulioides;Freshwater;40,43;2,09
Channidae;Channa marulius;Freshwater;37,44;2,09
Channidae;Channa melasoma;Freshwater;40,66;1,99
Channidae;Channa micropeltes;Freshwater;40,35;2,21
Channidae;Channa punctata;Freshwater;39,04;0,16
Channidae;Channa striata;Freshwater;38,25;1,99
Characidae;Astyanax bimaculatus;Freshwater;39,30;0,17
Characidae;Astyanax mexicanus;Freshwater;38,02;1,42
Cheimarrichthyidae;Cheimarrichthys fosteri;Freshwater;33,37;0,16
Cichlidae;Alcolapia alcalica;Freshwater;35,18;1,80
Cichlidae;Alcolapia latilabris;Freshwater;35,89;1,71
Cichlidae;Alcolapia ndalalani;Freshwater;35,27;1,80
Cichlidae;Altolamprologus calvus;Freshwater;37,87;2,66
Cichlidae;Altolamprologus compressiceps;Freshwater;37,99;2,66
Cichlidae;Aristochromis christyi;Freshwater;38,88;2,46
Cichlidae;Astatoreochromis alluaudi;Freshwater;37,08;1,38
Cichlidae;Astatotilapia bloyeti;Freshwater;38,01;2,06
Cichlidae;Astatotilapia burtoni;Freshwater;37,07;2,06
Cichlidae;Astatotilapia calliptera;Freshwater;39,09;2,67
Cichlidae;Aulonocara stuartgranti;Freshwater;38,84;2,67
Cichlidae;Aulonocranus dewindti;Freshwater;37,28;2,44
Cichlidae;Baileychromis centropomoides;Freshwater;37,75;2,25
Cichlidae;Bathybates fasciatus;Freshwater;37,86;2,10
Cichlidae;Bathybates ferox;Freshwater;37,91;2,10
Cichlidae;Bathybates graueri;Freshwater;37,85;2,10
Cichlidae;Bathybates hornii;Freshwater;37,91;1,65
Cichlidae;Bathybates leo;Freshwater;37,74;2,30
Cichlidae;Bathybates minor;Freshwater;37,86;1,62
Cichlidae;Bathybates vittatus;Freshwater;37,91;2,30
Cichlidae;Benthochromis melanoides;Freshwater;37,93;1,91
Cichlidae;Benthochromis tricoti;Freshwater;37,90;1,91
Cichlidae;Boulengerochromis microlepis;Freshwater;37,88;1,25
Cichlidae;Bujurquina vittata;Freshwater;40,29;0,16
Cichlidae;Callochromis macrops;Freshwater;38,01;1,70
Cichlidae;Callochromis melanostigma;Freshwater;37,90;1,80
Cichlidae;Callochromis pleurospilus;Freshwater;37,89;1,80
Cichlidae;Cardiopharynx schoutedeni;Freshwater;37,95;2,22
Cichlidae;Chalinochromis brichardi;Freshwater;37,98;2,37
Cichlidae;Chetia brevicauda;Freshwater;38,94;2,51
Cichlidae;Chetia brevis;Freshwater;37,94;2,51
Cichlidae;Chetia flaviventris;Freshwater;37,63;2,34
Cichlidae;Chilochromis duponti;Freshwater;39,70;1,68
Cichlidae;Cichlasoma urophthalmum;Freshwater;41,02;0,16
Cichlidae;Congolapia bilineata;Freshwater;39,29;1,70
Cichlidae;Copadichromis borleyi;Freshwater;38,88;2,51
Cichlidae;Ctenochromis horei;Freshwater;37,53;2,46
Cichlidae;Ctenochromis oligacanthus;Freshwater;39,35;1,55
Cichlidae;Ctenochromis polli;Freshwater;38,95;1,55
Cichlidae;Cunningtonia longiventralis;Freshwater;37,99;2,22
Cichlidae;Cyathopharynx furcifer;Freshwater;37,98;1,80
Cichlidae;Cyclopharynx fwae;Freshwater;39,20;1,55
Cichlidae;Cyphotilapia frontosa;Freshwater;37,93;1,91
Cichlidae;Cyprichromis leptosoma;Freshwater;37,95;1,91
Cichlidae;Cyprichromis microlepidotus;Freshwater;37,95;1,91
Cichlidae;Cyrtocara moorii;Freshwater;39,02;2,06
Cichlidae;Dimidiochromis strigatus;Freshwater;38,95;2,06
Cichlidae;Diplotaxodon greenwoodi;Freshwater;38,93;2,67
Cichlidae;Diplotaxodon macrops;Freshwater;38,87;2,67
Cichlidae;Ectodus descampsii;Freshwater;37,92;2,09
Cichlidae;Eretmodus cyanostictus;Freshwater;37,95;1,78
Cichlidae;Etia nguti;Freshwater;39,45;1,51
Cichlidae;Etroplus canarensis;Freshwater;41,04;0,73
Cichlidae;Etroplus maculatus;Freshwater;41,39;1,24
Cichlidae;Etroplus suratensis;Freshwater;42,26;0,20
Cichlidae;Geophagus brasiliensis;Freshwater;39,50;0,16
Cichlidae;Gnathochromis permaxillaris;Freshwater;37,87;2,34
Cichlidae;Gnathochromis pfefferi;Freshwater;37,47;2,13
Cichlidae;Gobiocichla ethelwynnae;Freshwater;39,73;1,47
Cichlidae;Gobiocichla wonderi;Freshwater;39,93;1,47
Cichlidae;Grammatotria lemairii;Freshwater;37,89;1,72
Cichlidae;Greenwoodochromis bellcrossi;Freshwater;37,85;1,74
Cichlidae;Greenwoodochromis christyi;Freshwater;37,97;1,91
Cichlidae;Haplochromis azureus;Freshwater;37,69;2,67
Cichlidae;Haplochromis brownae;Freshwater;37,69;2,51
Cichlidae;Haplochromis degeni;Freshwater;37,72;2,46
Cichlidae;Haplochromis ishmaeli;Freshwater;37,73;2,45
Cichlidae;Haplochromis maculipinna;Freshwater;38,61;1,48
Cichlidae;Haplochromis nyererei;Freshwater;37,66;2,67
Cichlidae;Haplochromis paludinosus;Freshwater;37,21;1,70
Cichlidae;Haplochromis phytophagus;Freshwater;37,70;2,42
Cichlidae;Haplochromis piceatus;Freshwater;37,71;2,45
Cichlidae;Haplochromis pyrrhocephalus;Freshwater;37,70;2,45
Cichlidae;Haplochromis rudolfianus;Freshwater;39,17;2,46
Cichlidae;Haplochromis squamipinnis;Freshwater;37,00;2,14
Cichlidae;Haplotaxodon microlepis;Freshwater;37,84;2,16
Cichlidae;Hemibates stenosoma;Freshwater;37,87;1,62
Cichlidae;Hemichromis bimaculatus;Freshwater;40,82;1,52
Cichlidae;Hemichromis elongatus;Freshwater;39,45;1,52
Cichlidae;Hemichromis fasciatus;Freshwater;40,99;1,52
Cichlidae;Hemichromis guttatus;Freshwater;40,51;0,16
Cichlidae;Herichthys cyanoguttatus;Freshwater;40,13;1,49
Cichlidae;Heterochromis multidens;Freshwater;39,49;1,93
Cichlidae;Julidochromis marlieri;Freshwater;37,83;3,03
Cichlidae;Julidochromis ornatus;Freshwater;37,94;2,37
Cichlidae;Julidochromis regani;Freshwater;37,87;3,03
Cichlidae;Katria katria;Freshwater;35,90;2,15
Cichlidae;Konia dikume;Freshwater;40,94;1,65
Cichlidae;Konia eisentrauti;Freshwater;40,80;1,65
Cichlidae;Labeotropheus trewavasae;Freshwater;38,91;2,51
Cichlidae;Labidochromis caeruleus;Freshwater;38,92;2,13
Cichlidae;Lamprologus callipterus;Freshwater;37,87;2,93
Cichlidae;Lamprologus congoensis;Freshwater;39,07;2,76
Cichlidae;Lamprologus kungweensis;Freshwater;37,81;2,93
Cichlidae;Lamprologus lemairii;Freshwater;37,98;2,45
Cichlidae;Lamprologus mocquardi;Freshwater;39,12;2,66
Cichlidae;Lamprologus ornatipinnis;Freshwater;37,96;2,37
Cichlidae;Lamprologus signatus;Freshwater;37,84;2,37
Cichlidae;Lamprologus tigripictilis;Freshwater;39,35;2,13
Cichlidae;Lamprologus werneri;Freshwater;38,97;2,76
Cichlidae;Lepidiolamprologus attenuatus;Freshwater;37,95;2,94
Cichlidae;Lepidiolamprologus cunningtoni;Freshwater;37,94;2,66
Cichlidae;Lepidiolamprologus elongatus;Freshwater;37,87;2,76
Cichlidae;Lepidiolamprologus profundicola;Freshwater;38,00;2,66
Cichlidae;Lestradea perspicax;Freshwater;37,71;2,44
Cichlidae;Lestradea stappersii;Freshwater;37,93;1,80
Cichlidae;Limnochromis abeelei;Freshwater;37,91;1,91
Cichlidae;Limnochromis auritus;Freshwater;37,87;2,16
Cichlidae;Limnochromis staneri;Freshwater;37,88;2,34
Cichlidae;Limnotilapia dardennii;Freshwater;37,87;2,46
Cichlidae;Lobochilotes labiatus;Freshwater;37,91;2,13
Cichlidae;Maylandia estherae;Freshwater;38,96;2,13
Cichlidae;Maylandia zebra;Freshwater;38,84;2,51
Cichlidae;Melanochromis auratus;Freshwater;38,70;1,71
Cichlidae;Myaka myaka;Freshwater;41,02;1,13
Cichlidae;Nanochromis parilus;Freshwater;39,81;1,90
Cichlidae;Neolamprologus brevis;Freshwater;37,83;1,87
Cichlidae;Neolamprologus brichardi;Freshwater;37,80;3,03
Cichlidae;Neolamprologus christyi;Freshwater;37,83;2,93
Cichlidae;Neolamprologus furcifer;Freshwater;37,94;2,37
Cichlidae;Neolamprologus gracilis;Freshwater;38,02;3,12
Cichlidae;Neolamprologus leleupi;Freshwater;37,88;2,13
Cichlidae;Neolamprologus leloupi;Freshwater;37,83;2,45
Cichlidae;Neolamprologus longior;Freshwater;37,87;2,37
Cichlidae;Neolamprologus meeli;Freshwater;37,93;2,94
Cichlidae;Neolamprologus modestus;Freshwater;37,84;2,44
Cichlidae;Neolamprologus mondabu;Freshwater;37,85;2,45
Cichlidae;Neolamprologus multifasciatus;Freshwater;37,89;2,37
Cichlidae;Neolamprologus olivaceous;Freshwater;37,84;1,87
Cichlidae;Neolamprologus pulcher;Freshwater;37,88;2,93
Cichlidae;Neolamprologus savoryi;Freshwater;37,86;2,13
Cichlidae;Neolamprologus splendens;Freshwater;37,97;3,12
Cichlidae;Neolamprologus tetracanthus;Freshwater;37,96;2,66
Cichlidae;Neolamprologus toae;Freshwater;37,95;1,44
Cichlidae;Neolamprologus tretocephalus;Freshwater;38,06;1,75
Cichlidae;Nimbochromis fuscotaeniatus;Freshwater;38,87;2,51
Cichlidae;Nimbochromis livingstonii;Freshwater;38,86;2,42
Cichlidae;Nimbochromis venustus;Freshwater;38,83;2,42
Cichlidae;Ophthalmotilapia boops;Freshwater;37,88;2,22
Cichlidae;Ophthalmotilapia heterodonta;Freshwater;37,81;2,44
Cichlidae;Ophthalmotilapia nasuta;Freshwater;37,83;2,44
Cichlidae;Ophthalmotilapia ventralis;Freshwater;37,90;2,22
Cichlidae;Oreochromis amphimelas;Freshwater;36,17;1,24
Cichlidae;Oreochromis andersonii;Freshwater;36,89;1,22
Cichlidae;Oreochromis esculentus;Freshwater;36,69;1,10
Cichlidae;Oreochromis karongae;Freshwater;37,21;1,25
Cichlidae;Oreochromis mossambicus;Freshwater;39,61;0,15
Cichlidae;Oreochromis niloticus;Freshwater;36,95;0,15
Cichlidae;Oreochromis tanganicae;Freshwater;36,17;1,25
Cichlidae;Oreochromis upembae;Freshwater;39,25;1,67
Cichlidae;Orthochromis machadoi;Freshwater;36,90;1,05
Cichlidae;Orthochromis malagaraziensis;Freshwater;37,33;1,71
Cichlidae;Orthochromis mazimeroensis;Freshwater;36,75;1,71
Cichlidae;Orthochromis polyacanthus;Freshwater;38,71;1,54
Cichlidae;Otopharynx brooksi;Freshwater;38,90;2,51
Cichlidae;Oxylapia polli;Freshwater;35,95;2,15
Cichlidae;Pallidochromis tokolosh;Freshwater;38,90;2,67
Cichlidae;Paracyprichromis brieni;Freshwater;37,94;1,91
Cichlidae;Paracyprichromis nigripinnis;Freshwater;38,01;1,91
Cichlidae;Paretroplus dambabe;Freshwater;40,55;2,20
Cichlidae;Paretroplus damii;Freshwater;38,55;1,84
Cichlidae;Paretroplus kieneri;Freshwater;40,34;1,84
Cichlidae;Paretroplus maculatus;Freshwater;39,75;2,28
Cichlidae;Paretroplus maromandia;Freshwater;38,41;2,28
Cichlidae;Paretroplus menarambo;Freshwater;38,09;1,90
Cichlidae;Paretroplus nourissati;Freshwater;37,95;1,97
Cichlidae;Paretroplus polyactis;Freshwater;38,67;1,97
Cichlidae;Paretroplus tsimoly;Freshwater;39,67;1,97
Cichlidae;Pelmatochromis buettikoferi;Freshwater;40,49;1,81
Cichlidae;Pelmatochromis nigrofasciatus;Freshwater;39,94;1,87
Cichlidae;Pelvicachromis humilis;Freshwater;40,05;2,17
Cichlidae;Pelvicachromis pulcher;Freshwater;40,39;2,17
Cichlidae;Perissodus eccentricus;Freshwater;37,91;2,34
Cichlidae;Perissodus microlepis;Freshwater;37,82;2,25
Cichlidae;Petrochromis famula;Freshwater;37,90;1,70
Cichlidae;Petrochromis orthognathus;Freshwater;37,87;2,46
Cichlidae;Petrochromis polyodon;Freshwater;37,91;2,46
Cichlidae;Petrochromis trewavasae;Freshwater;37,98;2,13
Cichlidae;Pharyngochromis acuticeps;Freshwater;38,02;2,23
Cichlidae;Placidochromis polli;Freshwater;38,86;2,67
Cichlidae;Plecodus elaviae;Freshwater;37,78;2,25
Cichlidae;Plecodus multidentatus;Freshwater;37,94;2,34
Cichlidae;Plecodus paradoxus;Freshwater;37,81;2,25
Cichlidae;Plecodus straeleni;Freshwater;37,74;2,25
Cichlidae;Protomelas fenestratus;Freshwater;39,82;1,49
Cichlidae;Pseudocrenilabrus multicolor;Freshwater;38,15;0,17
Cichlidae;Pseudocrenilabrus nicholsi;Freshwater;38,64;0,40
Cichlidae;Pseudosimochromis curvifrons;Freshwater;37,98;2,13
Cichlidae;Pterochromis congicus;Freshwater;39,97;1,87
Cichlidae;Pterophyllum scalare;Freshwater;39,12;0,17
Cichlidae;Ptychochromis grandidieri;Freshwater;38,42;2,28
Cichlidae;Ptychochromis inornatus;Freshwater;38,12;2,14
Cichlidae;Ptychochromis oligacanthus;Freshwater;38,99;2,28
Cichlidae;Ptychochromoides betsileanus;Freshwater;38,70;2,14
Cichlidae;Ptychochromoides vondrozo;Freshwater;39,28;2,14
Cichlidae;Pungu maclareni;Freshwater;41,00;1,15
Cichlidae;Rhamphochromis esox;Freshwater;38,90;2,67
Cichlidae;Rhamphochromis longiceps;Freshwater;38,97;2,67
Cichlidae;Rhamphochromis woodi;Freshwater;38,95;2,67
Cichlidae;Sargochromis carlottae;Freshwater;38,52;2,03
Cichlidae;Sargochromis coulteri;Freshwater;35,86;2,23
Cichlidae;Sargochromis giardi;Freshwater;38,04;1,55
Cichlidae;Sargochromis mellandi;Freshwater;38,12;2,23
Cichlidae;Sarotherodon caroli;Freshwater;40,85;1,65
Cichlidae;Sarotherodon caudomarginatus;Freshwater;40,72;1,23
Cichlidae;Sarotherodon linnellii;Freshwater;40,83;1,65
Cichlidae;Sarotherodon lohbergeri;Freshwater;40,81;1,65
Cichlidae;Sarotherodon melanotheron;Freshwater;40,72;0,16
Cichlidae;Sarotherodon mvogoi;Freshwater;38,70;1,24
Cichlidae;Sarotherodon steinbachi;Freshwater;40,79;1,65
Cichlidae;Schwetzochromis neodon;Freshwater;38,95;1,32
Cichlidae;Serranochromis altus;Freshwater;38,39;2,51
Cichlidae;Serranochromis angusticeps;Freshwater;37,96;2,23
Cichlidae;Serranochromis macrocephalus;Freshwater;38,05;2,03
Cichlidae;Serranochromis robustus;Freshwater;38,88;1,87
Cichlidae;Serranochromis stappersi;Freshwater;38,16;2,57
Cichlidae;Serranochromis thumbergi;Freshwater;38,08;2,57
Cichlidae;Simochromis babaulti;Freshwater;37,97;2,13
Cichlidae;Simochromis diagramma;Freshwater;37,89;2,13
Cichlidae;Spathodus erythrodon;Freshwater;38,00;1,76
Cichlidae;Spathodus marlieri;Freshwater;37,93;1,78
Cichlidae;Steatocranus bleheri;Freshwater;37,52;2,17
Cichlidae;Steatocranus casuarius;Freshwater;39,04;1,68
Cichlidae;Steatocranus gibbiceps;Freshwater;39,56;2,02
Cichlidae;Steatocranus glaber;Freshwater;39,34;2,02
Cichlidae;Steatocranus irvinei;Freshwater;40,24;1,56
Cichlidae;Steatocranus tinanti;Freshwater;38,89;2,17
Cichlidae;Steatocranus ubanguiensis;Freshwater;39,26;2,02
Cichlidae;Stomatepia mariae;Freshwater;41,04;1,14
Cichlidae;Stomatepia mongo;Freshwater;40,81;1,13
Cichlidae;Stomatepia pindu;Freshwater;41,00;1,14
Cichlidae;Tanganicodus irsacae;Freshwater;37,89;1,79
Cichlidae;Teleogramma depressa;Freshwater;40,13;1,87
Cichlidae;Telmatochromis bifrenatus;Freshwater;38,02;2,82
Cichlidae;Telmatochromis dhonti;Freshwater;37,89;2,82
Cichlidae;Telmatochromis temporalis;Freshwater;38,06;2,66
Cichlidae;Telmatochromis vittatus;Freshwater;37,84;2,44
Cichlidae;Thoracochromis albolabris;Freshwater;36,68;2,58
Cichlidae;Thoracochromis brauschi;Freshwater;39,24;1,55
Cichlidae;Thoracochromis buysi;Freshwater;36,18;2,58
Cichlidae;Tilapia brevimanus;Freshwater;39,95;1,50
Cichlidae;Tilapia busumana;Freshwater;39,93;1,56
Cichlidae;Tilapia buttikoferi;Freshwater;40,24;1,67
Cichlidae;Tilapia dageti;Freshwater;40,23;1,50
Cichlidae;Tilapia guinasana;Freshwater;38,19;2,17
Cichlidae;Tilapia guineensis;Freshwater;40,35;1,51
Cichlidae;Tilapia joka;Freshwater;39,46;1,22
Cichlidae;Tilapia louka;Freshwater;39,53;1,85
Cichlidae;Tilapia mariae;Freshwater;39,74;0,16
Cichlidae;Tilapia nyongana;Freshwater;38,96;1,52
Cichlidae;Tilapia rendalli;Freshwater;39,15;1,06
Cichlidae;Tilapia rheophila;Freshwater;39,60;1,86
Cichlidae;Tilapia ruweti;Freshwater;38,22;2,02
Cichlidae;Tilapia sparrmanii;Freshwater;37,84;2,17
Cichlidae;Tilapia tholloni;Freshwater;39,57;1,59
Cichlidae;Trematocara macrostoma;Freshwater;37,89;1,44
Cichlidae;Trematocara unimaculatum;Freshwater;37,92;1,45
Cichlidae;Triglachromis otostigma;Freshwater;37,88;1,74
Cichlidae;Tristramella simonis simonis;Freshwater;38,42;1,23
Cichlidae;Tropheops tropheops;Freshwater;38,95;2,67
Cichlidae;Tropheus annectens;Freshwater;37,98;2,13
Cichlidae;Tropheus brichardi;Freshwater;37,92;1,71
Cichlidae;Tropheus duboisi;Freshwater;37,99;2,06
Cichlidae;Tropheus kasabae;Freshwater;37,94;2,13
Cichlidae;Tropheus moorii;Freshwater;37,97;2,06
Cichlidae;Tropheus polli;Freshwater;37,93;2,06
Cichlidae;Tylochromis leonensis;Freshwater;40,10;1,92
Cichlidae;Tylochromis polylepis;Freshwater;37,88;1,92
Cichlidae;Tylochromis pulcher;Freshwater;40,00;1,87
Cichlidae;Variabilichromis moorii;Freshwater;37,93;1,84
Cichlidae;Xenochromis hecqui;Freshwater;37,81;2,25
Cichlidae;Xenotilapia bathyphila;Freshwater;37,84;2,09
Cichlidae;Xenotilapia caudafasciata;Freshwater;37,76;2,44
Cichlidae;Xenotilapia flavipinnis;Freshwater;37,81;2,09
Cichlidae;Xenotilapia leptura;Freshwater;37,90;2,09
Cichlidae;Xenotilapia longispinis;Freshwater;37,83;2,22
Cichlidae;Xenotilapia melanogenys;Freshwater;37,76;2,22
Cichlidae;Xenotilapia nigrolabiata;Freshwater;37,80;2,44
Cichlidae;Xenotilapia ochrogenys;Freshwater;37,93;1,80
Cichlidae;Xenotilapia ornatipinnis;Freshwater;37,95;1,62
Cichlidae;Xenotilapia sima;Freshwater;37,85;2,22
Cichlidae;Xenotilapia spiloptera;Freshwater;37,95;2,22
Cichlidae;Xenotilapia tenuidentata;Freshwater;38,04;2,22
Clariidae;Bathyclarias nyasensis;Freshwater;38,27;1,37
Clariidae;Bathyclarias worthingtoni;Freshwater;38,24;1,37
Clariidae;Channallabes apus;Freshwater;38,31;1,81
Clariidae;Clariallabes longicauda;Freshwater;38,99;2,25
Clariidae;Clarias agboyiensis;Freshwater;39,96;2,16
Clariidae;Clarias anguillaris;Freshwater;38,52;0,30
Clariidae;Clarias batrachus;Freshwater;37,37;1,97
Clariidae;Clarias buettikoferi;Freshwater;39,47;2,25
Clariidae;Clarias buthupogon;Freshwater;39,18;2,25
Clariidae;Clarias camerunensis;Freshwater;38,77;2,16
Clariidae;Clarias dussumieri;Freshwater;40,71;1,85
Clariidae;Clarias ebriensis;Freshwater;40,16;1,76
Clariidae;Clarias fuscus;Freshwater;38,48;1,97
Clariidae;Clarias gabonensis;Freshwater;38,68;1,81
Clariidae;Clarias gariepinus;Freshwater;37,71;0,15
Clariidae;Clarias jaensis;Freshwater;38,99;2,25
Clariidae;Clarias macrocephalus;Freshwater;40,60;1,83
Clariidae;Clarias meladerma;Freshwater;39,89;1,83
Clariidae;Clarias ngamensis;Freshwater;37,62;1,12
Clariidae;Clarias nieuhofii;Freshwater;39,98;1,83
Clariidae;Clarias pachynema;Freshwater;39,27;1,76
Clariidae;Clarias stappersii;Freshwater;37,19;1,81
Clariidae;Clarias theodorae;Freshwater;37,68;1,81
Clariidae;Clarias werneri;Freshwater;36,97;1,81
Clariidae;Dinotopterus cunningtoni;Freshwater;37,66;1,40
Clariidae;Gymnallabes typus;Freshwater;39,34;1,81
Clariidae;Heterobranchus bidorsalis;Freshwater;40,22;1,74
Clariidae;Heterobranchus isopterus;Freshwater;39,47;1,70
Clariidae;Heterobranchus longifilis;Freshwater;39,11;1,70
Claroteidae;Bathybagrus tetranema;Freshwater;38,15;2,49
Claroteidae;Clarotes laticeps;Freshwater;40,23;2,14
Claroteidae;Lophiobagrus brevispinis;Freshwater;38,11;2,39
Claroteidae;Notoglanidium macrostoma;Freshwater;39,28;2,10
Claroteidae;Parauchenoglanis balayi;Freshwater;39,32;2,10
Claroteidae;Phyllonemus typus;Freshwater;38,16;2,50
Clupeidae;Alosa aestivalis;Freshwater;33,58;0,62
Clupeidae;Alosa alabamae;Freshwater;33,80;0,27
Clupeidae;Alosa alosa;Freshwater;30,73;1,09
Clupeidae;Alosa caspia caspia;Freshwater;33,95;1,09
Clupeidae;Alosa fallax;Freshwater;32,31;1,26
Clupeidae;Alosa immaculata;Freshwater;33,43;1,33
Clupeidae;Alosa macedonica;Freshwater;34,12;1,33
Clupeidae;Alosa mediocris;Freshwater;34,70;1,02
Clupeidae;Alosa pseudoharengus;Freshwater;31,13;0,15
Clupeidae;Alosa sapidissima;Freshwater;32,58;0,16
Clupeidae;Clupea harengus;Marine;25,43;0,16
Clupeidae;Clupea pallasii pallasii;Marine;25,75;0,15
Clupeidae;Dorosoma cepedianum;Freshwater;35,30;0,15
Clupeidae;Dorosoma petenense;Freshwater;33,06;0,17
Clupeidae;Ethmalosa fimbriata;Freshwater;35,82;1,75
Clupeidae;Gilchristella aestuaria;Freshwater;32,26;2,17
Clupeidae;Limnothrissa miodon;Freshwater;34,26;2,52
Clupeidae;Microthrissa congica;Freshwater;35,14;2,10
Clupeidae;Microthrissa royauxi;Freshwater;35,18;2,18
Clupeidae;Odaxothrissa losera;Freshwater;35,24;2,18
Clupeidae;Pellonula vorax;Freshwater;35,56;2,18
Clupeidae;Potamothrissa obtusirostris;Freshwater;35,28;2,40
Clupeidae;Sardinops sagax;Marine;31,24;0,16
Clupeidae;Sauvagella madagascariensis;Freshwater;33,16;2,19
Clupeidae;Sauvagella robusta;Freshwater;32,80;2,19
Clupeidae;Sierrathrissa leonensis;Freshwater;36,11;2,06
Clupeidae;Stolothrissa tanganicae;Freshwater;34,24;2,52
Clupeidae;Tenualosa ilisha;Freshwater;36,04;1,83
Cobitidae;Acanthopsoides gracilentus;Freshwater;39,43;2,28
Cobitidae;Acanthopsoides hapalias;Freshwater;39,40;2,28
Cobitidae;Ambastaia nigrolineata;Freshwater;38,16;2,69
Cobitidae;Ambastaia sidthimunki;Freshwater;39,46;2,69
Cobitidae;Botia almorhae;Freshwater;38,78;2,69
Cobitidae;Botia histrionica;Freshwater;37,03;2,65
Cobitidae;Botia kubotai;Freshwater;38,85;2,51
Cobitidae;Botia rostrata;Freshwater;36,60;2,69
Cobitidae;Botia striata;Freshwater;39,15;2,46
Cobitidae;Canthophrys gongota;Freshwater;36,82;2,31
Cobitidae;Cobitis arachthosensis;Freshwater;36,82;2,76
Cobitidae;Cobitis bilineata;Freshwater;33,54;2,26
Cobitidae;Cobitis bilseli;Freshwater;35,64;2,66
Cobitidae;Cobitis calderoni;Freshwater;35,39;2,50
Cobitidae;Cobitis elazigensis;Freshwater;36,52;2,50
Cobitidae;Cobitis elongata;Freshwater;34,96;2,26
Cobitidae;Cobitis elongatoides;Freshwater;34,66;2,76
Cobitidae;Cobitis fahirae;Freshwater;36,81;2,76
Cobitidae;Cobitis hellenica;Freshwater;36,85;2,76
Cobitidae;Cobitis levantina;Freshwater;38,24;2,50
Cobitidae;Cobitis maroccana;Freshwater;37,54;2,82
Cobitidae;Cobitis melanoleuca;Freshwater;33,37;1,92
Cobitidae;Cobitis meridionalis;Freshwater;34,98;2,76
Cobitidae;Cobitis paludica;Freshwater;36,69;2,82
Cobitidae;Cobitis puncticulata;Freshwater;35,93;2,66
Cobitidae;Cobitis sinensis;Freshwater;37,54;1,92
Cobitidae;Cobitis stephanidisi;Freshwater;37,17;2,76
Cobitidae;Cobitis strumicae;Freshwater;35,80;2,66
Cobitidae;Cobitis taenia;Freshwater;33,76;1,92
Cobitidae;Cobitis trichonica;Freshwater;37,04;2,76
Cobitidae;Cobitis turcica;Freshwater;35,93;2,66
Cobitidae;Cobitis vardarensis;Freshwater;36,44;2,76
Cobitidae;Cobitis vettonica;Freshwater;36,31;2,76
Cobitidae;Cobitis zanandreai;Freshwater;36,35;2,04
Cobitidae;Lepidocephalichthys guntea;Freshwater;38,30;2,58
Cobitidae;Lepidocephalichthys hasselti;Freshwater;39,26;2,65
Cobitidae;Lepidocephalichthys thermalis;Freshwater;40,03;2,46
Cobitidae;Lepidocephalus macrochir;Freshwater;38,90;2,31
Cobitidae;Leptobotia elongata;Freshwater;35,92;2,39
Cobitidae;Leptobotia guilinensis;Freshwater;37,01;2,39
Cobitidae;Microcobitis misgurnoides;Freshwater;38,88;2,02
Cobitidae;Misgurnus anguillicaudatus;Freshwater;34,62;1,47
Cobitidae;Misgurnus fossilis;Freshwater;34,54;0,15
Cobitidae;Neoeucirrhichthys maydelli;Freshwater;37,22;2,35
Cobitidae;Pangio cuneovirgata;Freshwater;38,98;2,46
Cobitidae;Pangio kuhlii;Freshwater;38,96;2,46
Cobitidae;Pangio pangia;Freshwater;36,42;2,35
Cobitidae;Sabanejewia aurata;Freshwater;35,72;2,17
Cobitidae;Sabanejewia balcanica;Freshwater;34,60;2,17
Cobitidae;Sabanejewia caucasica;Freshwater;36,44;2,17
Cobitidae;Sabanejewia larvata;Freshwater;32,71;2,06
Cobitidae;Sabanejewia romanica;Freshwater;34,44;2,07
Cobitidae;Serpenticobitis zonata;Freshwater;39,62;2,06
Cobitidae;Sinibotia pulchra;Freshwater;38,26;2,74
Cobitidae;Sinibotia robusta;Freshwater;38,20;2,69
Cobitidae;Sinibotia superciliaris;Freshwater;36,46;2,74
Cobitidae;Syncrossus beauforti;Freshwater;38,66;2,74
Cobitidae;Syncrossus berdmorei;Freshwater;37,95;2,74
Cobitidae;Syncrossus helodes;Freshwater;39,26;2,69
Cobitidae;Yasuhikotakia caudipunctata;Freshwater;39,19;2,74
Cobitidae;Yasuhikotakia eos;Freshwater;39,27;2,94
Cobitidae;Yasuhikotakia lecontei;Freshwater;39,67;2,69
Cobitidae;Yasuhikotakia modesta;Freshwater;39,79;2,88
Cobitidae;Yasuhikotakia morleti;Freshwater;39,80;2,88
Cottidae;Clinocottus analis;Marine;32,54;0,15
Cottidae;Cottus aleuticus;Freshwater;29,52;1,53
