pred,prey
Anguilla anguilla,Blicca bjoerkna
Anguilla anguilla,Gymnocephalus cernua
Anguilla anguilla,Sander lucioperca
Anguilla anguilla,Abramis brama
Anguilla anguilla,Osmerus eperlanus
Anguilla anguilla,Rutilus rutilus
Sperata seenghala,Cyprinus carpio
Atherinops affinis,Atherinops affinis
Lepisosteus osseus,Anchoa mitchilli
Lepisosteus osseus,Alosa pseudoharengus
Lepisosteus osseus,Strongylura marina
Lepisosteus osseus,Pylodictis olivaris
Bathygobius soporator,Scartella cristata
Bathygobius soporator,Bathygobius soporator
Bathygobius fuscus,Bathygobius fuscus
Galaxias brevipinnis,Retropinna retropinna
Galaxias brevipinnis,Oncorhynchus mykiss
Galaxias brevipinnis,Gobiomorphus cotidianus
Galaxias brevipinnis,Galaxias brevipinnis
Chaenocephalus aceratus,Notothenia rossii
Chaenocephalus aceratus,Gobionotothen gibberifrons
Chaenocephalus aceratus,Chaenocephalus aceratus
Chaenocephalus aceratus,Lindbergichthys nudifrons
Chaenocephalus aceratus,Trematomus hansoni
Thymallus thymallus,Oncorhynchus nerka
Thymallus thymallus,Gasterosteus aculeatus
Lates niloticus,Bagrus docmak
Lates niloticus,Oreochromis niloticus
Lates niloticus,Clarias gariepinus
Lates niloticus,Lates niloticus
Lates niloticus,Brycinus nurse
Lates niloticus,Brycinus macrolepidotus
Lates niloticus,Brycinus longipinnis
Lates niloticus,Sierrathrissa leonensis
Lates niloticus,Limnothrissa miodon
Lates niloticus,Schilbe mystus
Lates niloticus,Schilbe intermedius
Lates niloticus,Synodontis schall
Acipenser gueldenstaedtii,Neogobius fluviatilis
Acipenser gueldenstaedtii,Neogobius melanostomus
Hypoplectrus aberrans,Scartella cristata
Hypoplectrus aberrans,Parablennius marmoreus
Trachinotus carolinus,Trachinotus carolinus
Acipenser persicus,Atherina boyeri
Acipenser persicus,Vimba vimba
Ponticola kessleri,Neogobius melanostomus
Ponticola kessleri,Ponticola kessleri
Ponticola kessleri,Barbus caninus
Ponticola kessleri,Sabanejewia larvata
Ponticola kessleri,Alburnus arborella
Ponticola kessleri,Chondrostoma soetta
Ponticola kessleri,Salmo labrax
Ponticola kessleri,Telestes muticellus
Ponticola kessleri,Rutilus aula
Ponticola kessleri,Acipenser naccarii
Ponticola kessleri,Salmo marmoratus
Ponticola kessleri,Alosa fallax
Ponticola kessleri,Hypophthalmichthys molitrix
Ponticola kessleri,Carassius carassius
Ponticola kessleri,Cobitis bilineata
Ponticola kessleri,Cobitis taenia
Ponticola kessleri,Telestes souffia
Ponticola kessleri,Padogobius bonelli
Ponticola kessleri,Pseudorasbora parva
Ponticola kessleri,Squalius cephalus
Ponticola kessleri,Salvelinus namaycush
Ponticola kessleri,Ctenopharyngodon idella
Ponticola kessleri,Gasterosteus aculeatus
Ponticola kessleri,Carassius auratus
Ponticola kessleri,Rutilus pigus
Ponticola kessleri,Parachondrostoma toxostoma
Ponticola kessleri,Scardinius erythrophthalmus
Ponticola kessleri,Alburnus alburnus
Ponticola kessleri,Salaria fluviatilis
Ponticola kessleri,Anguilla anguilla
Ponticola kessleri,Esox lucius
Ponticola kessleri,Silurus glanis
Ponticola kessleri,Leucaspius delineatus
Ponticola kessleri,Barbus plebejus
Ponticola kessleri,Perca fluviatilis
Ponticola kessleri,Hypophthalmichthys nobilis
Ponticola kessleri,Thymallus thymallus
Ponticola kessleri,Barbatula barbatula
Ponticola kessleri,Blicca bjoerkna
Ponticola kessleri,Chondrostoma nasus
Ponticola kessleri,Rutilus rutilus
Ponticola kessleri,Cyprinus carpio
Ponticola kessleri,Cottus gobio
Ponticola kessleri,Micropterus salmoides
Ponticola kessleri,Abramis brama
Oncorhynchus tshawytscha,Thaleichthys pacificus
Oncorhynchus tshawytscha,Oncorhynchus kisutch
Oncorhynchus tshawytscha,Oncorhynchus mykiss
Oncorhynchus tshawytscha,Oncorhynchus keta
Oncorhynchus tshawytscha,Cymatogaster aggregata
Oncorhynchus tshawytscha,Osmerus mordax
Oncorhynchus tshawytscha,Alosa pseudoharengus
Oncorhynchus tshawytscha,Clupea harengus
Oncorhynchus tshawytscha,Notropis hudsonius
Oncorhynchus tshawytscha,Percopsis omiscomaycus
Oncorhynchus tshawytscha,Engraulis mordax
Oncorhynchus tshawytscha,Clupea pallasii
Oncorhynchus tshawytscha,Sardinops sagax
Oncorhynchus tshawytscha,Perca flavescens
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
Pimephales promelas,Xyrauchen texanus
Thunnus alalunga,Katsuwonus pelamis
Thunnus alalunga,Scomber japonicus
Thunnus alalunga,Cymatogaster aggregata
Thunnus alalunga,Engraulis mordax
Thunnus alalunga,Auxis thazard
Thunnus alalunga,Sardinops sagax
Thunnus alalunga,Auxis rochei
Gobius cobitis,Parablennius incognitus
Noturus stigmosus,Notropis volucellus
Oncorhynchus nerka,Clupea pallasii
Lipophrys trigloides,Coryphoblennius galerita
Lipophrys trigloides,Gobius paganellus
Lipophrys trigloides,Lipophrys pholis
Lipophrys trigloides,Lipophrys trigloides
Acipenser fulvescens,Catostomus commersonii
Acipenser fulvescens,Moxostoma anisurum
Acipenser fulvescens,Pungitius pungitius
Sarda chiliensis,Sardinops sagax
Sarda chiliensis,Engraulis mordax
Sarda chiliensis,Cymatogaster aggregata
Sarda chiliensis,Scomber japonicus
Sarda orientalis,Engraulis japonicus
Auxis rochei,Trachurus japonicus
Auxis rochei,Scomber australasicus
Auxis rochei,Auxis rochei
Euthynnus affinis,Engraulis japonicus
Euthynnus affinis,Rastrelliger brachysoma
Euthynnus affinis,Scomber australasicus
Euthynnus affinis,Auxis thazard
Euthynnus affinis,Auxis rochei
Oreochromis mossambicus,Oreochromis mossambicus
Lepomis macrochirus,Carassius auratus
Lepomis macrochirus,Cyprinus carpio
Lepomis macrochirus,Morone americana
Archosargus probatocephalus,Archosargus probatocephalus
Scomberomorus tritor,Ethmalosa fimbriata
Labrus bergylta,Labrus bergylta
Sander vitreus,Mylocheilus caurinus
Sander vitreus,Notropis hudsonius
Sander vitreus,Percopsis omiscomaycus
Sander vitreus,Percina caprodes
Sander vitreus,Culaea inconstans
Sander vitreus,Osmerus mordax
Sander vitreus,Notropis atherinoides
Sander vitreus,Oncorhynchus nerka
Sander vitreus,Aplodinotus grunniens
Sander vitreus,Richardsonius balteatus
Sander vitreus,Oncorhynchus kisutch
Sander vitreus,Oncorhynchus mykiss
Sander vitreus,Etheostoma nigrum
Sander vitreus,Alosa pseudoharengus
Sander vitreus,Carassius auratus
Sander vitreus,Morone americana
Sander vitreus,Perca fluviatilis
Sander vitreus,Dorosoma cepedianum
Sander vitreus,Morone chrysops
Sander vitreus,Oncorhynchus tshawytscha
Sander vitreus,Perca flavescens
Sander vitreus,Sander vitreus
Sander vitreus,Neogobius melanostomus
Sander vitreus,Salvelinus namaycush
Sander vitreus,Coregonus artedi
Sander vitreus,Phoxinus phoxinus
Sander vitreus,Salvelinus fontinalis
Sander vitreus,Ameiurus nebulosus
Sander vitreus,Lota lota
Sander vitreus,Lepomis gibbosus
Sander vitreus,Hiodon alosoides
Sander vitreus,Polyodon spathula
Sander vitreus,Pungitius pungitius
Sander vitreus,Catostomus commersonii
Sander vitreus,Micropterus salmoides
Pomoxis annularis,Aplodinotus grunniens
Pomoxis annularis,Dorosoma cepedianum
Pomoxis annularis,Lepomis macrochirus
Scomber scombrus,Pomatoschistus minutus
Scomber scombrus,Clupea harengus
Scomber scombrus,Gadus morhua
Scomber scombrus,Pleuronectes platessa
Scomber scombrus,Scomber scombrus
Euthynnus alletteratus,Anchoa mitchilli
Euthynnus alletteratus,Lagodon rhomboides
Euthynnus alletteratus,Strongylura marina
Euthynnus alletteratus,Euthynnus alletteratus
Euthynnus alletteratus,Auxis rochei
Euthynnus alletteratus,Auxis thazard
Cynoscion nebulosus,Lagodon rhomboides
Cynoscion nebulosus,Cynoscion nebulosus
Cynoscion nebulosus,Lucania parva
Cynoscion nebulosus,Anchoa mitchilli
Cynoscion nebulosus,Scomber scombrus
Cynoscion nebulosus,Elops saurus
Cynoscion nebulosus,Leiostomus xanthurus
Cynoscion nebulosus,Fundulus grandis
Cynoscion nebulosus,Floridichthys carpio
Cynoscion nebulosus,Paralichthys lethostigma
Cynoscion nebulosus,Strongylura marina
Cynoscion nebulosus,Dorosoma cepedianum
Cynoscion nebulosus,Cyprinodon variegatus
Tautogolabrus adspersus,Clupea harengus
Sardinops sagax,Engraulis japonicus
Catostomus catostomus,Salvelinus alpinus
Istiophorus platypterus,Euthynnus alletteratus
Istiophorus platypterus,Xiphias gladius
Istiophorus platypterus,Auxis rochei
Istiophorus platypterus,Auxis thazard
Coregonus artedi,Coregonus artedi
Oncorhynchus gorbuscha,Thaleichthys pacificus
Oncorhynchus gorbuscha,Clupea pallasii
Stenodus leucichthys,Salvelinus alpinus
Stenodus leucichthys,Lota lota
Stenodus leucichthys,Osmerus mordax
Stenodus leucichthys,Oncorhynchus tshawytscha
Stenodus leucichthys,Coregonus sardinella
Stenodus leucichthys,Hiodon alosoides
Stenodus leucichthys,Stenodus leucichthys
Leuciscus aspius,Alburnus alburnus
Leuciscus aspius,Carassius auratus
Leuciscus aspius,Leuciscus leuciscus
Leuciscus aspius,Osmerus eperlanus
Leuciscus aspius,Rutilus rutilus
Leuciscus aspius,Leucaspius delineatus
Leuciscus aspius,Neogobius fluviatilis
Coryphoblennius galerita,Gobius paganellus
Coryphoblennius galerita,Lipophrys pholis
Coryphoblennius galerita,Coryphoblennius galerita
Leucaspius delineatus,Capoeta capoeta
Leucaspius delineatus,Leucaspius delineatus
Esox lucius,Rutilus rutilus
Esox lucius,Lepomis gibbosus
Esox lucius,Ambloplites rupestris
Esox lucius,Percina caprodes
Esox lucius,Platichthys flesus
Esox lucius,Neogobius melanostomus
Esox lucius,Abramis brama
Esox lucius,Pimephales promelas
Esox lucius,Coregonus artedi
Esox lucius,Carassius carassius
Esox lucius,Phoxinus phoxinus
Esox lucius,Squalius cephalus
Esox lucius,Gasterosteus aculeatus
Esox lucius,Perca flavescens
Esox lucius,Blicca bjoerkna
Esox lucius,Perca fluviatilis
Esox lucius,Salmo trutta
Esox lucius,Gymnocephalus cernua
Esox lucius,Coregonus sardinella
Esox lucius,Alburnus alburnus
Esox lucius,Oncorhynchus mykiss
Esox lucius,Salmo salar
Esox lucius,Scardinius erythrophthalmus
Esox lucius,Tinca tinca
Esox lucius,Sander lucioperca
Esox lucius,Catostomus catostomus
Esox lucius,Cottus bairdii
Esox lucius,Esox lucius
Esox lucius,Vimba vimba
Esox lucius,Notropis hudsonius
Esox lucius,Cyprinella spiloptera
Esox lucius,Cobitis calderoni
Esox lucius,Rutilus frisii
Esox lucius,Clupea harengus
Esox lucius,Gobio gobio
Esox lucius,Salaria fluviatilis
Esox lucius,Acipenser gueldenstaedtii
Esox lucius,Coregonus clupeaformis
Esox lucius,Coregonus albula
Esox lucius,Coregonus lavaretus
Esox lucius,Leuciscus leuciscus
Esox lucius,Thymallus thymallus
Esox lucius,Labidesthes sicculus
Esox lucius,Pimephales notatus
Esox lucius,Leuciscus idus
Esox lucius,Pomoxis annularis
Esox lucius,Barbatula barbatula
Esox lucius,Acipenser stellatus
Esox lucius,Lota lota
Esox lucius,Cottus gobio
Esox lucius,Lepomis macrochirus
Esox lucius,Sander vitreus
Esox lucius,Micropterus salmoides
Esox lucius,Dorosoma cepedianum
Esox lucius,Catostomus commersonii
Esox lucius,Salvelinus alpinus
Esox lucius,Osmerus eperlanus
Esox lucius,Anguilla anguilla
Esox lucius,Cyprinus carpio
Esox lucius,Silurus glanis
Barbus plebejus,Barbus caninus
Barbus plebejus,Sabanejewia larvata
Barbus plebejus,Alburnus arborella
Barbus plebejus,Chondrostoma soetta
Barbus plebejus,Salmo labrax
Barbus plebejus,Telestes muticellus
Barbus plebejus,Rutilus aula
Barbus plebejus,Acipenser naccarii
Barbus plebejus,Salmo marmoratus
Barbus plebejus,Alosa fallax
Barbus plebejus,Hypophthalmichthys molitrix
Barbus plebejus,Carassius carassius
Barbus plebejus,Cobitis bilineata
Barbus plebejus,Cobitis taenia
Barbus plebejus,Telestes souffia
Barbus plebejus,Padogobius bonelli
Barbus plebejus,Pseudorasbora parva
Barbus plebejus,Squalius cephalus
Barbus plebejus,Salvelinus namaycush
Barbus plebejus,Ctenopharyngodon idella
Barbus plebejus,Gasterosteus aculeatus
Barbus plebejus,Carassius auratus
Barbus plebejus,Rutilus pigus
Barbus plebejus,Parachondrostoma toxostoma
Cottus gobio,Neogobius melanostomus
Cottus gobio,Gasterosteus aculeatus
Cottus gobio,Pungitius pungitius
Cottus gobio,Cottus gobio
