consumer,metric,recorded_prey_species,prey_with_trait,prey_trait_coverage,included_in_analysis
Petroleuciscus borysthenicus,ctmax,8,0,0,FALSE
Protochondrostoma genei,ctmax,3,0,0,FALSE
Rheocles vatosoa,ctmax,3,0,0,FALSE
Rhinichthys obtusus,ctmax,6,0,0,FALSE
Schilbe mystus,ctmax,35,13,0.371428571428571,TRUE
Siniperca roulei,ctmax,4,0,0,FALSE
Spinibarbus hollandi,ctmax,3,0,0,FALSE
Squalius keadicus,ctmax,1,0,0,FALSE
Brycinus longipinnis,ctmax,18,0,0,FALSE
Brycinus macrolepidotus,ctmax,8,0,0,FALSE
Hemichromis fasciatus,ctmax,7,0,0,FALSE
Hepsetus odoe,ctmax,13,2,0.153846153846154,TRUE
Hydrocynus forskahlii,ctmax,25,6,0.24,TRUE
Malapterurus electricus,ctmax,4,0,0,FALSE
Marcusenius senegalensis,ctmax,5,0,0,FALSE
Oreochromis andersonii,ctmax,10,1,0.1,TRUE
Synodontis waterloti,ctmax,5,0,0,FALSE
Colossoma macropomum,ctmax,21,0,0,FALSE
Rheocles derhami,ctmax,3,0,0,FALSE
Anematichthys repasson,ctmax,4,0,0,FALSE
Lates calcarifer,ctmax,25,6,0.24,TRUE
Melanotaenia splendida,ctmax,18,1,0.0555555555555556,TRUE
Rhabdosargus holubi,ctmax,7,0,0,FALSE
Tilapia mariae,ctmax,3,0,0,FALSE
Labeo fimbriatus,ctmax,4,0,0,FALSE
Coptotermes formosanus,ctmax,5,0,0,FALSE
Calamus nodosus,ctmax,21,0,0,FALSE
Pagellus acarne,ctmax,21,0,0,FALSE
Lithobates pipiens,ctmax,11,0,0,FALSE
Tiliqua rugosa,ctmax,2,0,0,FALSE
Euthynnus affinis,ctmax,33,5,0.151515151515152,TRUE
Katsuwonus pelamis,ctmax,30,2,0.0666666666666667,TRUE
Orthopristis ruber,ctmax,9,0,0,FALSE
Takifugu rubripes,ctmax,16,0,0,FALSE
Acanthopagrus schlegelii,ctmax,28,1,0.0357142857142857,TRUE
Symphodus bailloni,ctmax,6,0,0,FALSE
Regina alleni,ctmax,8,3,0.375,TRUE
Istiophorus platypterus,ctmax,46,5,0.108695652173913,TRUE
Thunnus atlanticus,ctmax,21,0,0,FALSE
Podarcis muralis,ctmax,14,0,0,FALSE
Elgaria multicarinata,ctmax,6,2,0.333333333333333,TRUE
Seriola lalandi,ctmax,16,4,0.25,TRUE
Kajikia audax,ctmax,31,7,0.225806451612903,TRUE
Danio rerio,ctmax,14,1,0.0714285714285714,TRUE
Pterophyllum scalare,ctmax,2,0,0,FALSE
Siniperca scherzeri,ctmax,2,0,0,FALSE
Dascyllus aruanus,ctmax,7,0,0,FALSE
Hydra vulgaris,ctmax,1,0,0,FALSE
Nothobranchius furzeri,ctmax,1,0,0,FALSE
Premnas biaculeatus,ctmax,5,0,0,FALSE
Camponotus castaneus,ctmax,3,0,0,FALSE
Sarmarutilus rubilio,ctmax,13,6,0.461538461538462,TRUE
Cottus carolinae,ctmax,5,0,0,FALSE
Chelon ramada,ctmax,43,3,0.0697674418604651,TRUE
Palaemon elegans,ctmax,62,5,0.0806451612903226,TRUE
Palaemon longirostris,ctmax,25,2,0.08,TRUE
Rhinocheilus lecontei,ctmax,31,11,0.354838709677419,TRUE
Masticophis lateralis,ctmax,24,10,0.416666666666667,TRUE
Lampropeltis zonata,ctmax,12,5,0.416666666666667,TRUE
Coregonus albula,ctmax,34,1,0.0294117647058824,TRUE
Chanos chanos,ctmax,32,1,0.03125,TRUE
Carasobarbus canis,ctmax,12,2,0.166666666666667,TRUE
Synodontis petricola,ctmax,8,4,0.5,TRUE
Rhinichthys atratulus,ctmax,22,1,0.0454545454545455,TRUE
Acar domingensis,ctmax,14,0,0,FALSE
Micropterus floridanus,ctmax,2,1,0.5,TRUE
Pygocentrus nattereri,ctmax,17,2,0.117647058823529,TRUE
Acipenser persicus,ctmax,4,2,0.5,TRUE
Sarda australis,ctmax,4,1,0.25,TRUE
Kajikia albida,ctmax,33,4,0.121212121212121,TRUE
Maccullochella peelii,ctmax,17,4,0.235294117647059,TRUE
Cyrtocara moorii,ctmax,2,0,0,FALSE
Labeobarbus johnstonii,ctmax,6,0,0,FALSE
Oreochromis karongae,ctmax,2,0,0,FALSE
Anguilla australis,ctmax,36,6,0.166666666666667,TRUE
Galaxias eldoni,ctmax,4,0,0,FALSE
Pagothenia borchgrevinki,ctmax,21,0,0,FALSE
Periophthalmus barbarus,ctmax,8,0,0,FALSE
Calotomus carolinus,ctmax,3,0,0,FALSE
Naso lituratus,ctmax,6,0,0,FALSE
Faxonius rusticus,ctmax,7,1,0.142857142857143,TRUE
Brycinus imberi,ctmax,8,0,0,FALSE
Serranochromis robustus,ctmax,8,0,0,FALSE
Cottus bairdii,ctmax,9,0,0,FALSE
Culaea inconstans,ctmax,17,1,0.0588235294117647,TRUE
Agnetina capitata,ctmax,7,1,0.142857142857143,TRUE
Paragnetina media,ctmax,6,1,0.166666666666667,TRUE
Umbra limi,ctmax,31,1,0.032258064516129,TRUE
Lates niloticus,ctmax,41,13,0.317073170731707,TRUE
Plecoglossus altivelis,ctmax,23,0,0,FALSE
Tetrapturus pfluegeri,ctmax,15,0,0,FALSE
Hydrocynus vittatus,ctmax,26,9,0.346153846153846,TRUE
Micrometrus minimus,ctmax,12,0,0,FALSE
Thaleichthys pacificus,ctmax,11,0,0,FALSE
Notothenia rossii,ctmax,38,3,0.0789473684210526,TRUE
Takifugu xanthopterus,ctmax,13,0,0,FALSE
Tetrapturus belone,ctmax,7,0,0,FALSE
Anoplarchus purpurescens,ctmax,9,0,0,FALSE
Brienomyrus niger,ctmax,6,0,0,FALSE
Callichthys callichthys,ctmax,11,0,0,FALSE
Catla catla,ctmax,8,0,0,FALSE
Catostomus commersonii,ctmax,19,1,0.0526315789473684,TRUE
Catostomus tahoensis,ctmax,5,0,0,FALSE
Centrolabrus melanocercus,ctmax,8,0,0,FALSE
Chasmodes saburrae,ctmax,3,0,0,FALSE
Chrosomus neogaeus,ctmax,24,1,0.0416666666666667,TRUE
Coregonus autumnalis,ctmax,18,2,0.111111111111111,TRUE
Coregonus sardinella,ctmax,11,0,0,FALSE
Coris julis,ctmax,8,0,0,FALSE
Diapterus rhombeus,ctmax,8,0,0,FALSE
Etheostoma exile,ctmax,6,0,0,FALSE
Galaxias maculatus,ctmax,6,0,0,FALSE
Gilchristella aestuaria,ctmax,5,0,0,FALSE
Heniochus varius,ctmax,6,0,0,FALSE
Oblada melanura,ctmax,22,0,0,FALSE
Pollimyrus adspersus,ctmax,4,0,0,FALSE
Rasbora daniconius,ctmax,8,0,0,FALSE
Rhabdosargus sarba,ctmax,17,0,0,FALSE
Spondyliosoma cantharus,ctmax,17,1,0.0588235294117647,TRUE
Symphodus cinereus,ctmax,11,0,0,FALSE
Symphodus ocellatus,ctmax,13,0,0,FALSE
Tilapia rendalli,ctmax,28,0,0,FALSE
Abudefduf sordidus,ctmax,8,0,0,FALSE
Acanthopagrus australis,ctmax,11,0,0,FALSE
Acanthopagrus berda,ctmax,17,0,0,FALSE
Acanthopagrus bifasciatus,ctmax,4,0,0,FALSE
Acanthopagrus butcheri,ctmax,1,0,0,FALSE
Acanthopagrus latus,ctmax,14,0,0,FALSE
Acanthopagrus sivicolus,ctmax,4,0,0,FALSE
Acanthurus thompsoni,ctmax,9,0,0,FALSE
Acipenser baerii,ctmax,29,0,0,FALSE
Acipenser fulvescens,ctmax,10,3,0.3,TRUE
Acipenser nudiventris,ctmax,4,1,0.25,TRUE
Acipenser ruthenus,ctmax,8,0,0,FALSE
Acipenser sturio,ctmax,4,2,0.5,TRUE
Acrocheilus alutaceus,ctmax,5,0,0,FALSE
Albula vulpes,ctmax,7,0,0,FALSE
Alburnus chalcoides,ctmax,9,0,0,FALSE
Alcolapia alcalica,ctmax,3,0,0,FALSE
Aldrichetta forsteri,ctmax,4,0,0,FALSE
Alestes baremoze,ctmax,10,0,0,FALSE
Alosa caspia,ctmax,10,0,0,FALSE
Alosa immaculata,ctmax,3,0,0,FALSE
Altolamprologus compressiceps,ctmax,5,0,0,FALSE
Ambassis agrammus,ctmax,9,0,0,FALSE
Ambastaia sidthimunki,ctmax,3,0,0,FALSE
Amblygobius phalaena,ctmax,15,0,0,FALSE
Amblypharyngodon melettinus,ctmax,4,0,0,FALSE
Ammocrypta pellucida,ctmax,4,0,0,FALSE
Anampses caeruleopunctatus,ctmax,1,0,0,FALSE
Anampses geographicus,ctmax,4,0,0,FALSE
Anguilla bicolor,ctmax,1,0,0,FALSE
Anguilla marmorata,ctmax,7,2,0.285714285714286,TRUE
Anguilla mossambica,ctmax,4,0,0,FALSE
Aphyosemion australe,ctmax,1,0,0,FALSE
Apistogramma borellii,ctmax,4,0,0,FALSE
Aplodinotus grunniens,ctmax,14,1,0.0714285714285714,TRUE
Argyrozona argyrozona,ctmax,2,0,0,FALSE
Arius arius,ctmax,11,0,0,FALSE
Arnoldichthys spilopterus,ctmax,5,0,0,FALSE
Arothron manilensis,ctmax,3,0,0,FALSE
Arothron nigropunctatus,ctmax,5,0,0,FALSE
Arothron stellatus,ctmax,1,0,0,FALSE
Astyanax bimaculatus,ctmax,29,2,0.0689655172413793,TRUE
Astyanax mexicanus,ctmax,1,0,0,FALSE
Atherina boyeri,ctmax,17,0,0,FALSE
Aurigequula fasciata,ctmax,7,0,0,FALSE
Australoheros facetus,ctmax,12,0,0,FALSE
Auxis rochei,ctmax,19,2,0.105263157894737,TRUE
Auxis thazard,ctmax,9,2,0.222222222222222,TRUE
Babka gymnotrachelus,ctmax,10,2,0.2,TRUE
Badis badis,ctmax,1,0,0,FALSE
Bagarius bagarius,ctmax,4,0,0,FALSE
Bagarius yarrelli,ctmax,2,0,0,FALSE
Barbodes semifasciolatus,ctmax,7,0,0,FALSE
Barbonymus gonionotus,ctmax,5,0,0,FALSE
Barbonymus schwanenfeldii,ctmax,6,0,0,FALSE
Barbus bynni,ctmax,5,0,0,FALSE
Barbus callensis,ctmax,5,0,0,FALSE
Barbus paludinosus,ctmax,11,0,0,FALSE
Bathygobius fuscus,ctmax,21,0,0,FALSE
Benthochromis melanoides,ctmax,2,0,0,FALSE
Benthochromis tricoti,ctmax,2,0,0,FALSE
Benthophilus granulosus,ctmax,2,0,0,FALSE
Benthophilus stellatus,ctmax,5,0,0,FALSE
Blennius ocellaris,ctmax,4,0,0,FALSE
Bodianus mesothorax,ctmax,1,0,0,FALSE
Boopsoidea inornata,ctmax,6,0,0,FALSE
Boraras maculatus,ctmax,1,0,0,FALSE
Bostrychus sinensis,ctmax,1,0,0,FALSE
Brycinus nurse,ctmax,14,0,0,FALSE
Butis butis,ctmax,3,1,0.333333333333333,TRUE
Calamus brachysomus,ctmax,7,1,0.142857142857143,TRUE
Calamus penna,ctmax,5,0,0,FALSE
Callopanchax occidentalis,ctmax,1,0,0,FALSE
Canthigaster amboinensis,ctmax,8,0,0,FALSE
Canthigaster jactator,ctmax,8,0,0,FALSE
Canthigaster janthinoptera,ctmax,3,0,0,FALSE
Canthigaster solandri,ctmax,6,0,0,FALSE
Caspiosoma caspium,ctmax,7,0,0,FALSE
Catlocarpio siamensis,ctmax,3,0,0,FALSE
Catostomus catostomus,ctmax,8,1,0.125,TRUE
Centrolabrus exoletus,ctmax,21,4,0.19047619047619,TRUE
Chaetodon auriga,ctmax,19,0,0,FALSE
Chaetodon citrinellus,ctmax,14,0,0,FALSE
Chaetodon ephippium,ctmax,8,0,0,FALSE
Chaetodon fremblii,ctmax,9,0,0,FALSE
Chaetodon multicinctus,ctmax,10,0,0,FALSE
Chaetodon ocellatus,ctmax,6,0,0,FALSE
Chaetodon paucifasciatus,ctmax,9,0,0,FALSE
Chaetodon quadrimaculatus,ctmax,7,0,0,FALSE
Chaetodon unimaculatus,ctmax,10,0,0,FALSE
Chaetodon vagabundus,ctmax,16,0,0,FALSE
Channa asiatica,ctmax,4,0,0,FALSE
Channa gachua,ctmax,3,0,0,FALSE
Channa lucius,ctmax,1,0,0,FALSE
Channa maculata,ctmax,5,0,0,FALSE
Channa micropeltes,ctmax,2,1,0.5,TRUE
Channa striata,ctmax,20,2,0.1,TRUE
Chanodichthys mongolicus,ctmax,4,0,0,FALSE
Cheilinus chlorourus,ctmax,4,0,0,FALSE
Cheilinus fasciatus,ctmax,4,0,0,FALSE
Cheilinus trilobatus,ctmax,5,0,0,FALSE
Cheilio inermis,ctmax,4,0,0,FALSE
Chelmonops curiosus,ctmax,3,0,0,FALSE
Chelonodon patoca,ctmax,14,1,0.0714285714285714,TRUE
Chitala chitala,ctmax,7,2,0.285714285714286,TRUE
Chitala ornata,ctmax,3,0,0,FALSE
Chlorurus sordidus,ctmax,7,0,0,FALSE
Choerodon anchorago,ctmax,7,0,0,FALSE
Choerodon fasciatus,ctmax,5,0,0,FALSE
Chologaster cornuta,ctmax,1,0,0,FALSE
Chromis ovalis,ctmax,12,0,0,FALSE
Chrysoblephus anglicus,ctmax,4,0,0,FALSE
Chrysoblephus cristiceps,ctmax,5,0,0,FALSE
Cirrhinus molitorella,ctmax,7,0,0,FALSE
Cirrhitichthys oxycephalus,ctmax,1,0,0,FALSE
Clarias agboyiensis,ctmax,8,0,0,FALSE
Clarias anguillaris,ctmax,8,1,0.125,TRUE
Clarias batrachus,ctmax,13,1,0.0769230769230769,TRUE
Clarias fuscus,ctmax,4,0,0,FALSE
Clarias macrocephalus,ctmax,9,0,0,FALSE
Clarias stappersii,ctmax,3,1,0.333333333333333,TRUE
Clarias theodorae,ctmax,5,0,0,FALSE
Clarotes laticeps,ctmax,2,0,0,FALSE
Clinocottus analis,ctmax,10,0,0,FALSE
Clinostomus funduloides,ctmax,8,0,0,FALSE
Clupisoma garua,ctmax,5,0,0,FALSE
Cobitis paludica,ctmax,15,0,0,FALSE
Congresox talabonoides,ctmax,3,0,0,FALSE
Coptodon guineensis,ctmax,2,0,0,FALSE
Coregonus muksun,ctmax,2,0,0,FALSE
Coregonus nasus,ctmax,5,0,0,FALSE
Coris aygula,ctmax,7,0,0,FALSE
Coris gaimard,ctmax,2,0,0,FALSE
Corydoras julii,ctmax,5,0,0,FALSE
Corydoras paleatus,ctmax,2,0,0,FALSE
Coryphopterus urospilus,ctmax,1,0,0,FALSE
Corythoichthys intestinalis,ctmax,3,0,0,FALSE
Cottus aleuticus,ctmax,8,3,0.375,TRUE
Cottus cognatus,ctmax,11,2,0.181818181818182,TRUE
Cottus poecilopus,ctmax,13,0,0,FALSE
Cottus ricei,ctmax,4,0,0,FALSE
Crenuchus spilurus,ctmax,1,0,0,FALSE
Ctenopoma muriei,ctmax,3,0,0,FALSE
Ctenopoma petherici,ctmax,3,0,0,FALSE
Cymatoceps nasutus,ctmax,6,0,0,FALSE
Cyphotilapia frontosa,ctmax,4,0,0,FALSE
Danio kerri,ctmax,6,0,0,FALSE
Dasyatis sabina,ctmax,12,1,0.0833333333333333,TRUE
Datnioides polota,ctmax,1,0,0,FALSE
Dawkinsia filamentosa,ctmax,10,0,0,FALSE
Dentex canariensis,ctmax,3,0,0,FALSE
Dentex macrophthalmus,ctmax,10,0,0,FALSE
Dentex tumifrons,ctmax,3,0,0,FALSE
Desmopuntius johorensis,ctmax,5,0,0,FALSE
Devario aequipinnatus,ctmax,3,0,0,FALSE
Devario regina,ctmax,7,0,0,FALSE
Dichotomyctere fluviatilis,ctmax,2,0,0,FALSE
Dichotomyctere ocellatus,ctmax,4,0,0,FALSE
Diplectrum pacificum,ctmax,3,0,0,FALSE
Diplodus bellottii,ctmax,3,0,0,FALSE
Diplodus caudimacula,ctmax,7,0,0,FALSE
Diplodus cervinus,ctmax,3,0,0,FALSE
Diplodus puntazzo,ctmax,10,0,0,FALSE
Elassoma boehlkei,ctmax,2,0,0,FALSE
Elassoma evergladei,ctmax,3,0,0,FALSE
Eleotris acanthopomus,ctmax,14,1,0.0714285714285714,TRUE
Eleotris fusca,ctmax,13,3,0.230769230769231,TRUE
Ellochelon vaigiensis,ctmax,16,0,0,FALSE
Elops affinis,ctmax,2,0,0,FALSE
Elops hawaiensis,ctmax,5,2,0.4,TRUE
Elops machnata,ctmax,15,3,0.2,TRUE
Enteromius fasciolatus,ctmax,5,0,0,FALSE
Enteromius kerstenii,ctmax,2,0,0,FALSE
Epalzeorhynchos bicolor,ctmax,5,0,0,FALSE
Epalzeorhynchos kalopterus,ctmax,5,0,0,FALSE
Epibulus insidiator,ctmax,3,0,0,FALSE
Epinephelus coioides,ctmax,4,0,0,FALSE
Epinephelus fuscoguttatus,ctmax,7,0,0,FALSE
Epinephelus tauvina,ctmax,5,1,0.2,TRUE
Epiplatys sexfasciatus,ctmax,5,0,0,FALSE
Eretmodus cyanostictus,ctmax,4,0,0,FALSE
Ericymba buccata,ctmax,6,0,0,FALSE
Esox americanus,ctmax,5,0,0,FALSE
Etheostoma blennioides,ctmax,3,0,0,FALSE
Etheostoma caeruleum,ctmax,4,0,0,FALSE
Etheostoma flabellare,ctmax,9,0,0,FALSE
Etheostoma microperca,ctmax,3,0,0,FALSE
Etheostoma nigrum,ctmax,10,0,0,FALSE
Etheostoma spectabile,ctmax,2,0,0,FALSE
Etroplus maculatus,ctmax,10,1,0.1,TRUE
Etroplus suratensis,ctmax,11,0,0,FALSE
Eubleekeria splendens,ctmax,10,0,0,FALSE
Eucinostomus argenteus,ctmax,16,0,0,FALSE
Eucinostomus gracilis,ctmax,2,0,0,FALSE
Eucinostomus melanopterus,ctmax,4,0,0,FALSE
Eucyclogobius newberryi,ctmax,1,0,0,FALSE
Floridichthys carpio,ctmax,12,0,0,FALSE
Forcipiger longirostris,ctmax,1,0,0,FALSE
Fundulopanchax filamentosus,ctmax,1,0,0,FALSE
Fundulus notatus,ctmax,6,0,0,FALSE
Gasteropelecus maculatus,ctmax,4,0,0,FALSE
Gazza minuta,ctmax,10,0,0,FALSE
Gerres filamentosus,ctmax,11,0,0,FALSE
Glossogobius celebius,ctmax,9,0,0,FALSE
Glyptothorax trilineatus,ctmax,2,0,0,FALSE
Gnathochromis pfefferi,ctmax,4,0,0,FALSE
Gobiomorphus cotidianus,ctmax,18,1,0.0555555555555556,TRUE
Gobionotothen gibberifrons,ctmax,7,0,0,FALSE
Gobius cobitis,ctmax,8,1,0.125,TRUE
Gomphosus varius,ctmax,3,0,0,FALSE
Gymnarchus niloticus,ctmax,7,1,0.142857142857143,TRUE
Gymnocephalus schraetser,ctmax,6,0,0,FALSE
Haemulon steindachneri,ctmax,3,0,0,FALSE
Haletta semifasciata,ctmax,10,0,0,FALSE
Halichoeres chierchiae,ctmax,5,0,0,FALSE
Halichoeres chloropterus,ctmax,4,0,0,FALSE
Halichoeres cyanocephalus,ctmax,1,0,0,FALSE
Halichoeres hortulanus,ctmax,5,0,0,FALSE
Halichoeres margaritaceus,ctmax,9,0,0,FALSE
Halichoeres melanurus,ctmax,6,0,0,FALSE
Halichoeres notospilus,ctmax,1,0,0,FALSE
Halichoeres scapularis,ctmax,2,0,0,FALSE
Hampala macrolepidota,ctmax,9,0,0,FALSE
Haplochromis degeni,ctmax,2,0,0,FALSE
Hemibagrus nemurus,ctmax,3,0,0,FALSE
Hemibagrus wyckioides,ctmax,1,0,0,FALSE
Hemibates stenosoma,ctmax,3,0,0,FALSE
Hemiculter leucisculus,ctmax,8,0,0,FALSE
Hemigymnus melapterus,ctmax,11,0,0,FALSE
Hemisilurus mekongensis,ctmax,5,0,0,FALSE
Hemitaurichthys zoster,ctmax,10,0,0,FALSE
Hemitremia flammea,ctmax,4,0,0,FALSE
Heniochus acuminatus,ctmax,5,0,0,FALSE
Herichthys cyanoguttatus,ctmax,5,0,0,FALSE
Heteropneustes fossilis,ctmax,3,0,0,FALSE
Heteroscarus acroptilus,ctmax,11,0,0,FALSE
Heterotis niloticus,ctmax,12,0,0,FALSE
Hologymnosus doliatus,ctmax,5,0,0,FALSE
Horabagrus brachysoma,ctmax,10,0,0,FALSE
Hybognathus hankinsoni,ctmax,3,0,0,FALSE
Hydrocynus brevis,ctmax,4,1,0.25,TRUE
Hyphessobrycon erythrostigma,ctmax,5,0,0,FALSE
Hyphessobrycon herbertaxelrodi,ctmax,5,0,0,FALSE
Hypomesus nipponensis,ctmax,24,0,0,FALSE
Hypomesus olidus,ctmax,9,1,0.111111111111111,TRUE
Hypoplectrus unicolor,ctmax,3,0,0,FALSE
Hypostomus plecostomus,ctmax,4,0,0,FALSE
Hypseleotris galii,ctmax,3,0,0,FALSE
Hysterocarpus traskii,ctmax,5,0,0,FALSE
Ictiobus bubalus,ctmax,3,0,0,FALSE
Ictiobus cyprinellus,ctmax,5,0,0,FALSE
Ictiobus niger,ctmax,4,0,0,FALSE
Johnrandallia nigrirostris,ctmax,6,0,0,FALSE
Kareius bicoloratus,ctmax,6,0,0,FALSE
Knipowitschia caucasica,ctmax,4,0,0,FALSE
Kryptopterus bicirrhis,ctmax,2,0,0,FALSE
Kuhlia rupestris,ctmax,11,0,0,FALSE
Labeo calbasu,ctmax,5,0,0,FALSE
Labeo chrysophekadion,ctmax,4,0,0,FALSE
Labeobarbus polylepis,ctmax,7,0,0,FALSE
Labeobarbus seeberi,ctmax,8,0,0,FALSE
Labidesthes sicculus,ctmax,7,0,0,FALSE
Labroides bicolor,ctmax,3,0,0,FALSE
Labroides dimidiatus,ctmax,7,1,0.142857142857143,TRUE
Labrus viridis,ctmax,4,0,0,FALSE
Lagocephalus laevigatus,ctmax,3,0,0,FALSE
Lagocephalus lagocephalus,ctmax,4,0,0,FALSE
Lagocephalus sceleratus,ctmax,8,0,0,FALSE
Lamprologus callipterus,ctmax,2,0,0,FALSE
Lamprologus lemairii,ctmax,4,0,0,FALSE
Lamprologus signatus,ctmax,2,0,0,FALSE
Lappanella fasciata,ctmax,4,0,0,FALSE
Larimichthys crocea,ctmax,6,0,0,FALSE
Laubuka laubuca,ctmax,4,0,0,FALSE
Leiognathus equulus,ctmax,18,0,0,FALSE
Lepidiolamprologus attenuatus,ctmax,2,0,0,FALSE
Lepidiolamprologus elongatus,ctmax,9,2,0.222222222222222,TRUE
Lepidiolamprologus profundicola,ctmax,5,1,0.2,TRUE
Lepidonotothen squamifrons,ctmax,35,1,0.0285714285714286,TRUE
Lepisosteus platyrhincus,ctmax,5,0,0,FALSE
Lepomis humilis,ctmax,4,0,0,FALSE
Lepomis megalotis,ctmax,10,0,0,FALSE
Limia melanogaster,ctmax,6,0,0,FALSE
Limia vittata,ctmax,5,0,0,FALSE
Limnothrissa miodon,ctmax,21,1,0.0476190476190476,TRUE
Lindbergichthys nudifrons,ctmax,16,0,0,FALSE
Lithognathus mormyrus,ctmax,11,0,0,FALSE
Litopenaeus setiferus,ctmax,23,0,0,FALSE
Liza abu,ctmax,8,0,0,FALSE
Lobochilotes labiatus,ctmax,5,0,0,FALSE
Luciosoma bleekeri,ctmax,2,0,0,FALSE
Lutjanus malabaricus,ctmax,11,0,0,FALSE
Lutjanus vitta,ctmax,6,0,0,FALSE
Luxilus chrysocephalus,ctmax,11,0,0,FALSE
Macrhybopsis storeriana,ctmax,5,0,0,FALSE
Macropharyngodon geoffroy,ctmax,5,0,0,FALSE
Malapterus reticulatus,ctmax,2,0,0,FALSE
Margariscus margarita,ctmax,8,0,0,FALSE
Mastacembelus armatus,ctmax,5,0,0,FALSE
Microlipophrys dalmatinus,ctmax,7,0,0,FALSE
Microlipophrys nigriceps,ctmax,8,0,0,FALSE
Microphis brachyurus,ctmax,2,0,0,FALSE
Micropterus notius,ctmax,9,0,0,FALSE
Microthrissa congica,ctmax,12,1,0.0833333333333333,TRUE
Minytrema melanops,ctmax,4,0,0,FALSE
Misgurnus anguillicaudatus,ctmax,5,0,0,FALSE
Monacanthus chinensis,ctmax,10,0,0,FALSE
Monopterus albus,ctmax,5,1,0.2,TRUE
Morone chrysops,ctmax,12,7,0.583333333333333,TRUE
Moxostoma anisurum,ctmax,5,0,0,FALSE
Moxostoma carinatum,ctmax,2,0,0,FALSE
Moxostoma duquesnii,ctmax,5,0,0,FALSE
Moxostoma erythrurum,ctmax,6,0,0,FALSE
Moxostoma hubbsi,ctmax,6,0,0,FALSE
Moxostoma macrolepidotum,ctmax,5,0,0,FALSE
Moxostoma valenciennesi,ctmax,8,0,0,FALSE
Mugil curema,ctmax,23,0,0,FALSE
Mugilogobius chulae,ctmax,1,0,0,FALSE
Mylocheilus caurinus,ctmax,4,0,0,FALSE
Mylopharyngodon piceus,ctmax,15,0,0,FALSE
Myoxocephalus thompsonii,ctmax,4,0,0,FALSE
Mystacoleucus marginatus,ctmax,2,0,0,FALSE
Mystus bocourti,ctmax,2,0,0,FALSE
Mystus vittatus,ctmax,3,0,0,FALSE
Nandus nebulosus,ctmax,1,0,0,FALSE
Nannostomus beckfordi,ctmax,1,0,0,FALSE
Nannostomus eques,ctmax,4,0,0,FALSE
Nannostomus trifasciatus,ctmax,5,0,0,FALSE
Nanochromis parilus,ctmax,1,0,0,FALSE
Naso hexacanthus,ctmax,14,0,0,FALSE
Neogobius fluviatilis,ctmax,9,0,0,FALSE
Neogobius pallasi,ctmax,2,0,0,FALSE
Neolamprologus furcifer,ctmax,2,0,0,FALSE
Neolamprologus leleupi,ctmax,6,0,0,FALSE
Neolamprologus mondabu,ctmax,5,0,0,FALSE
Neolamprologus savoryi,ctmax,6,1,0.166666666666667,TRUE
Neolamprologus toae,ctmax,3,0,0,FALSE
Neolamprologus tretocephalus,ctmax,6,0,0,FALSE
Neolebias ansorgii,ctmax,4,0,0,FALSE
Neolissochilus hexagonolepis,ctmax,2,0,0,FALSE
Nocomis biguttatus,ctmax,12,0,0,FALSE
Nocomis micropogon,ctmax,8,0,0,FALSE
Notoglanidium macrostoma,ctmax,1,0,0,FALSE
Notolabrus fucicola,ctmax,9,0,0,FALSE
Notopterus notopterus,ctmax,7,0,0,FALSE
Notropis anogenus,ctmax,4,0,0,FALSE
Notropis blennius,ctmax,6,0,0,FALSE
Notropis buchanani,ctmax,4,0,0,FALSE
Notropis dorsalis,ctmax,5,0,0,FALSE
Notropis heterodon,ctmax,8,0,0,FALSE
Notropis hudsonius,ctmax,14,0,0,FALSE
Notropis photogenis,ctmax,4,0,0,FALSE
Notropis volucellus,ctmax,7,0,0,FALSE
Noturus flavus,ctmax,13,1,0.0769230769230769,TRUE
Noturus gyrinus,ctmax,3,0,0,FALSE
Noturus insignis,ctmax,6,0,0,FALSE
Noturus miurus,ctmax,3,0,0,FALSE
Noturus stigmosus,ctmax,4,1,0.25,TRUE
Novaculichthys taeniourus,ctmax,2,0,0,FALSE
Novaculoides macrolepidotus,ctmax,3,0,0,FALSE
Odaxothrissa losera,ctmax,1,0,0,FALSE
Oligocottus maculosus,ctmax,4,0,0,FALSE
Oligolepis acutipennis,ctmax,1,0,0,FALSE
Ompok bimaculatus,ctmax,3,0,0,FALSE
Ophthalmotilapia nasuta,ctmax,2,0,0,FALSE
Opsarius pulchellus,ctmax,1,0,0,FALSE
Opsopoeodus emiliae,ctmax,5,0,0,FALSE
Osmerus dentex,ctmax,13,1,0.0769230769230769,TRUE
Osphronemus exodon,ctmax,6,0,0,FALSE
Osphronemus goramy,ctmax,12,0,0,FALSE
Osteochilus melanopleura,ctmax,5,0,0,FALSE
Osteochilus vittatus,ctmax,5,0,0,FALSE
Ostorhinchus aureus,ctmax,5,0,0,FALSE
Oxycheilinus bimaculatus,ctmax,2,0,0,FALSE
Oxycheilinus unifasciatus,ctmax,2,0,0,FALSE
Oxyeleotris marmorata,ctmax,5,0,0,FALSE
Pagellus bellottii,ctmax,4,0,0,FALSE
Pagrus auratus,ctmax,28,1,0.0357142857142857,TRUE
Pagrus auriga,ctmax,6,0,0,FALSE
Pagrus caeruleostictus,ctmax,11,0,0,FALSE
